报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),21203,17516,26714,23048,15628,17207,10238,12978,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),59013,45671,37637,13022,13396,,,,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),,,,,,,,,
应收账款(万元),7096,7274,6443,3341,6109,,,,
预付款项(万元),2464,2267,1745,1781,1091,974,1597,2020,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,2666,1903,1641,,,,,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),22058,18441,19315,24547,17107,20542,16275,19333,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),7222,6661,6415,7097,5631,13658,11981,12113,
流动资产合计(万元),121479,100497,100173,74477,60421,56987,43354,49918,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,,,,160,160,160,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),,,,,,,,,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),6083,6132,6182,6232,6331,6430,4592,4472,
固定资产原值(万元),,99641,99180,99118,,,,,
累计折旧(万元),,25418,24492,23469,,,,,
固定资产净值(万元),,74223,74688,75649,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),,74223,74688,75649,,,,,
在建工程(万元),,127,55,50,,,,,
工程物资(万元),,18,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),10774,10830,10892,10959,11098,11180,11333,11523,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,,,,,
长期待摊费用(万元),3198,2556,2678,2882,2202,2106,848,871,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),504,473,440,582,498,586,483,480,
其他非流动资产(万元),1404,1223,273,490,79,486,274,171,
非流动资产合计(万元),96303,95743,95369,97004,96370,98649,65939,60081,
资产总计(万元),217782,196240,195542,171481,156792,155636,109292,109999,
短期借款(万元),17000,23000,24500,6500,6500,2000,11000,7000,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),,,,,,,,,
应付账款(万元),32471,27572,32557,34519,28259,,,,
预收账款(万元),1204,1049,1023,29160,28976,22254,16411,13162,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),1753,1688,1859,2865,1634,2698,2500,2627,
应交税费(万元),895,1344,2451,1288,1479,1204,2183,1859,
应付利息(万元),13,20,23,11,9,,,,
应付股利(万元),,,,,,,,,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,9724,9200,10757,,,,,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,
其他流动负债(万元),3295,3197,2752,,,,,,
流动负债合计(万元),103522,102305,104174,85100,75352,77609,71163,66742,
长期借款(万元),,,,,,4100,6900,4300,
应付债券(万元),,,,,,,,,
长期应付款(万元),,4041,3810,3513,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),,,,,,,,,
长期递延收益(万元),1146,1014,1028,1456,1254,1287,571,605,
递延所得税负债(万元),1,2,3,4,,,,,
其他非流动负债(万元),,,,,,,,,
非流动负债合计(万元),5478,5056,4841,4974,4339,8067,9657,7036,
负债合计(万元),109000,107361,109015,90074,79690,85676,80820,73778,
实收资本(或股本)(万元),49558,44600,44600,44600,44600,44600,5080,5080,
资本公积(万元),32576,18682,18682,18682,18682,18682,5,3985,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),1042,1042,1042,1051,371,371,2514,1863,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),25606,24554,22202,17074,13448,6307,20873,25293,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),108782,88878,86527,81407,77101,69960,28472,36221,
少数股东权益(万元),,,,,,,,,
所有者权益(或股东权益)合计(万元),108782,88878,86527,81407,77101,69960,28472,36221,
负债和所有者权益(或股东权益)总计(万元),217782,196240,195542,171481,156792,155636,109292,109999,		
