报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),11464,13660,15235,23883,20292,20491,19669,9052,9924,9838,26479,24738,7958,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,86,
衍生金融资产(万元),92,1192,3318,276,,,,,,,,,,
应收票据(万元),40067,29243,25644,35255,54681,37896,38371,41968,18818,12940,11551,7786,5879,
应收账款(万元),82667,74608,73281,77025,58573,68735,67427,53201,45529,46088,44907,39002,32010,
预付款项(万元),4875,3174,2805,4762,3797,2457,7585,1234,1430,1777,1158,1986,2631,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,,,,160,337,,,,23,159,493,106,
应收股利(万元),,77,,,,,,,,,,,,
其他应收款(万元),,1208,,1219,,991,989,1016,2099,1590,1770,1314,1177,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),103698,107289,95594,96672,104452,88822,70351,65913,42188,51704,49326,50317,49656,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),10907,10541,11012,11803,28436,60162,9573,11277,5842,6411,5722,1424,3498,
流动资产合计(万元),254431,240991,228533,250896,271447,279892,213966,183660,125829,130371,141071,127060,103001,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,,7000,7000,7000,7000,7000,7000,7000,7000,7100,7100,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),55768,59043,60550,59450,59219,59499,56756,58667,51043,46588,43927,38565,27587,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,
固定资产原值(万元),,315413,,302287,,283716,,273315,184174,,171848,,,
累计折旧(万元),,132076,,121018,,109967,,98874,85147,,70871,,,
固定资产净值(万元),,183337,,181269,,173749,,174441,99027,,100976,,,
固定资产减值准备(万元),,,,414,,414,,414,1041,,,,,
固定资产(万元),,183337,,180855,183354,173336,173303,174027,97986,100297,100976,86889,80839,
在建工程(万元),,5596,,8471,8818,20800,19409,17616,42997,24667,13867,12324,12468,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),39773,37999,36082,36275,36529,36722,36915,37047,19508,18417,18859,13122,12681,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),938,938,938,938,938,938,938,938,938,938,938,728,,
长期待摊费用(万元),553,290,334,368,384,430,444,476,562,581,480,146,390,
股权分置流通权(万元),,,,,,,,,,,,,,
递延所得税资产(万元),4145,4228,3700,3467,2670,2687,1806,2167,1453,1508,1357,1657,1373,
其他非流动资产(万元),17435,17456,13484,5744,2884,1559,3219,3282,17846,15596,4465,4264,3129,
非流动资产合计(万元),322506,315446,311827,302567,301795,302970,299789,301219,239332,215592,191870,164795,145567,
资产总计(万元),576937,556437,540360,553463,573242,582862,513755,484880,365161,345963,332942,291854,248568,
短期借款(万元),109986,108697,126724,119563,127197,125081,136158,127346,88806,94594,113446,96331,67803,
向中央银行借款(万元),,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,
应付票据(万元),29453,16331,,9744,,13016,13775,13082,14957,14638,9430,1450,,
应付账款(万元),40267,51531,,42682,,55421,45753,51465,31748,25914,17107,22592,9876,
预收账款(万元),4831,5879,4490,10597,4470,10755,23858,8977,4665,2711,2997,4281,3344,
卖出回购金融资产款(万元),,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,
应付职工薪酬(万元),5084,3738,2621,5807,4552,3569,2463,4716,3117,2472,3179,2372,1443,
应交税费(万元),11338,9263,9238,13066,8546,8367,9513,12464,6681,933,3261,4073,5091,
应付利息(万元),200,170,226,162,243,227,243,176,107,197,352,324,165,
应付股利(万元),4680,5500,,,18360,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,
其他应付款(万元),,290,,565,,210,294,468,10077,1355,30799,14277,57248,
预提费用(万元),,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,110,130,3230,3500,3500,1100,1500,3400,3350,6000,
其他流动负债(万元),,,,,,,,,,,,,,
流动负债合计(万元),206146,201398,185831,202296,227046,219875,235558,222196,161258,144315,183969,149049,150970,
