报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),2183,9337,3827,4757,5926,8066,6735,5741,23511,6399,6317,5641,9760,7583,5739,
结算备付金(万元),,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,
应收票据(万元),1288,1094,338,977,1124,679,333,118,237,237,211,,,64,95,
应收账款(万元),22669,16054,18695,15279,19162,18727,18679,16916,17455,19879,14934,17689,13875,12573,10079,
预付款项(万元),3548,935,2786,2501,2593,1145,2070,1811,522,327,136,186,126,181,100,
应收保费(万元),,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,
其他应收款(万元),,1992,,1337,2017,1810,1680,960,1333,1362,793,677,470,1724,1218,
应收出口退税(万元),,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,
存货(万元),11950,5750,4307,7457,7481,6295,6109,6139,4944,5455,6881,6880,8331,8305,7154,
待摊费用(万元),,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,
其他流动资产(万元),10220,11625,17043,19445,14007,14181,14213,14157,,,,,,,,
流动资产合计(万元),54238,46787,48929,51752,52309,50902,49819,45841,48003,33660,29271,31073,32562,30430,24385,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,110,110,100,100,100,50,50,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,0,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,
固定资产原值(万元),,11342,,11342,,9887,,9831,,9324,9253,,,,,
累计折旧(万元),,4588,,4588,,4269,,3959,,3661,3369,,,,,
固定资产净值(万元),,6753,,6753,,5618,,5872,,5663,5884,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,
