报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),36559,9653,12319,10956,8185,7356,11380,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),25044,,,,1,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),,,,,,,,
应收账款(万元),8377,6444,4464,7219,,,,
预付款项(万元),417,204,173,55,182,117,275,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,,,,,,,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),7669,6171,6844,7571,7296,6129,4562,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),10,14,10,10,1,63,76,
流动资产合计(万元),78854,22631,23961,27632,23621,18829,21016,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),76,79,85,88,100,113,140,
固定资产原值(万元),,,,,,,,
累计折旧(万元),,,,,,,,
固定资产净值(万元),,,,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,,,,,,,
在建工程(万元),,,,,,,,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),7080,7120,7159,7199,7211,1087,1125,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),3,4,4,4,7,5,7,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),76,45,23,59,55,29,26,
其他非流动资产(万元),,,,,,,,
非流动资产合计(万元),24411,22190,20192,17152,11893,6281,6622,
资产总计(万元),103265,44822,44153,44784,35514,25109,27638,
短期借款(万元),149,155,,,,,2,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),1837,1166,2472,3313,,,,
应付账款(万元),4834,1540,2835,4822,,,,
预收账款(万元),16,8,,413,322,337,397,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),544,455,468,789,721,623,500,
应交税费(万元),889,686,594,890,560,853,1745,
应付利息(万元),,,,,,,,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,,,,,,,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),8988,4603,6787,10243,8131,6747,7389,
长期借款(万元),,,,,,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),109,115,122,128,155,181,207,
递延所得税负债(万元),,,,,0,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),356,363,369,376,402,428,454,
负债合计(万元),9344,4966,7157,10619,8533,7175,7843,
实收资本(或股本)(万元),8800,6600,6600,6600,6600,6600,6000,
资本公积(万元),57697,9697,9697,9697,9600,9600,1161,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),2204,2204,2204,2204,1014,116,2604,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),25210,21272,18414,15608,9730,1631,9991,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),93921,39856,36997,34165,26980,17934,19795,
少数股东权益(万元),,,,,,,,
所有者权益(或股东权益)合计(万元),93921,39856,36997,34165,26980,17934,19795,
负债和所有者权益(或股东权益)总计(万元),103265,44822,44153,44784,35514,25109,27638,		
