报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),29070,35017,17610,15892,8643,41011,45318,13420,19592,16085,9991,3674,2368,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,254,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,
应收账款(万元),11817,10887,,8035,8193,8647,5169,5661,5281,3304,2346,1896,1405,
预付款项(万元),936,666,602,911,890,437,979,829,722,765,150,150,107,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,
其他应收款(万元),,643,,98,76,122,92,109,447,52,30,927,580,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),8222,6387,6798,6972,6141,5165,5735,4606,2851,3772,2104,1623,1350,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),13696,8205,25510,30791,39433,7826,1960,966,572,476,295,1645,1372,
流动资产合计(万元),64434,61804,60829,62699,63376,63208,59253,25591,29465,24453,14916,9915,7436,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,
固定资产原值(万元),,27772,,27341,,21289,,17059,13559,13160,,,,
累计折旧(万元),,6712,,5825,,5191,,4531,4000,3693,,,,
固定资产净值(万元),,21059,,21517,,16099,,12528,9558,9467,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),,21059,,21517,15874,16099,16257,12528,9558,9467,6619,7012,7634,
在建工程(万元),,5370,,3385,2075,1187,608,4237,1465,1381,905,176,113,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),3263,3300,3342,3386,3281,3295,3325,3355,1414,1449,1510,763,769,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,
长期待摊费用(万元),587,621,494,358,298,322,437,173,94,97,88,166,100,
股权分置流通权(万元),,,,,,,,,,,,,,
递延所得税资产(万元),78,78,61,61,44,65,44,44,42,26,19,50,12,
其他非流动资产(万元),,,340,340,,,200,200,200,200,1300,1100,900,
非流动资产合计(万元),31521,30427,29936,29046,21572,20968,20871,20537,12773,12620,10440,9267,9528,
资产总计(万元),95955,92232,90765,91745,84948,84177,80124,46128,42238,37074,25357,19182,16964,
短期借款(万元),,,,,,,,,,,,1000,3500,
向中央银行借款(万元),,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,30,,
衍生金融负债(万元),,,,,,,,,,,,,,
应付票据(万元),12926,13041,,14057,,12991,14863,12929,11612,10357,8581,5822,5040,
应付账款(万元),14403,11791,,12304,,11490,8916,11675,9982,10174,6788,5338,4620,
预收账款(万元),445,392,447,756,386,579,516,878,446,441,276,222,324,
卖出回购金融资产款(万元),,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,
应付职工薪酬(万元),2063,1632,1744,1897,1548,1336,1273,1436,1014,1450,1017,592,430,
应交税费(万元),340,886,281,491,979,568,195,444,375,264,269,401,42,
应付利息(万元),,,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,
其他应付款(万元),,2838,,2397,2403,3281,1536,1617,1941,1508,1068,906,627,
预提费用(万元),,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,
