报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),13913,21455,9517,15536,15576,16545,16853,14861,14928,14524,6684,7219,6097,4775,1917,2835,2505,
结算备付金(万元),,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,16000,2061,,11,4,,,,,,35,152,,119,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,
应收票据(万元),279,108,227,125,,,506,60,44,,357,48,114,28,462,405,228,
应收账款(万元),6561,6452,5037,6685,6628,4867,4274,5450,4245,5527,4557,6252,5371,4078,4804,3719,3536,
预付款项(万元),700,610,376,436,98,100,86,41,282,152,216,272,68,26,229,752,702,
应收保费(万元),,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,17,34,5,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,
其他应收款(万元),,436,,286,223,176,201,248,222,363,278,238,285,117,357,529,469,
应收出口退税(万元),,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,
存货(万元),5643,5419,4569,4137,4802,5193,4923,4456,4817,4498,4650,4012,4086,4785,3123,2892,2594,
待摊费用(万元),,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,
其他流动资产(万元),69,29,51,10063,10061,7826,9004,10085,10139,9130,77,70,86,134,8,,,
流动资产合计(万元),27365,34509,36076,39329,37387,34719,35851,35201,34694,34228,16823,18109,16142,14095,10900,11250,10034,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,15,11,11,
固定资产原值(万元),,15025,,14662,,14322,,13784,,11119,,10240,9444,,,,,
累计折旧(万元),,5575,,5051,,4528,,4102,,3779,,3404,2779,,,,,
固定资产净值(万元),,9450,,9611,,9794,,9683,,7341,,6836,6665,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,
固定资产(万元),,9450,,9611,9561,9790,9471,9683,7266,7341,7362,6836,6665,3151,3092,2988,3102,
在建工程(万元),,639,,459,531,351,866,690,3043,2682,2561,3119,2517,3739,2765,56,43,
工程物资(万元),,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,
无形资产(万元),2169,2191,2171,2191,2211,2231,2251,2271,2291,2318,2335,2351,2372,2410,2448,2525,719,
开发支出(万元),,,,,,,,,,,,,,,,,,
商誉(万元),11,11,,,,,,,,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,
递延所得税资产(万元),91,91,80,94,59,46,41,56,59,71,248,240,53,48,66,31,29,
其他非流动资产(万元),32959,1914,29,83,,,,,,,,,,,,,,
非流动资产合计(万元),45391,14296,12310,12438,12362,12418,12629,12700,12658,12412,12505,12545,11607,9348,8386,5610,3903,
资产总计(万元),72756,48804,48386,51767,49749,47137,48480,47902,47352,46640,29329,30654,27749,23443,19286,16860,13937,
短期借款(万元),4949,,,2853,2000,,,,,,950,,1000,2000,3400,1301,2620,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,1,39,,,32,146,164,,21,,,42,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,
应付票据(万元),1439,,,,,,,,,,288,288,235,,,,,
应付账款(万元),5363,5330,,5140,,5772,6099,5149,5413,5637,5673,5332,5919,4328,3875,3980,2391,
预收账款(万元),25,31,62,68,22,28,14,16,15,66,248,183,25,9,29,29,123,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),474,469,440,684,341,313,303,565,321,333,274,675,536,259,558,364,112,
应交税费(万元),107,197,34,164,392,203,141,272,92,147,286,551,486,252,475,151,109,
应付利息(万元),15,,,13,,,,,,,1,,1,3,6,12,23,
应付股利(万元),,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,
其他应付款(万元),,283,,322,314,315,308,290,362,467,507,453,163,68,530,118,34,
预提费用(万元),,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,
流动负债合计(万元),12759,6310,5749,9246,7543,6631,6865,6324,6349,6815,8227,7503,8365,6919,8914,5956,5412,
长期借款(万元),16903,,,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,1214,,,,,,
长期递延收益(万元),198,205,213,221,,,,,,,,,,,,,,
递延所得税负债(万元),,,,,,2,1,,,,,,5,23,,18,,
其他非流动负债(万元),,,,,229,237,245,253,261,277,281,284,316,332,348,379,411,
非流动负债合计(万元),17101,205,213,221,229,239,246,253,261,277,281,1498,321,355,348,397,411,
负债合计(万元),29859,6515,5962,9467,7772,6870,7111,6577,6610,7092,8508,9001,8686,7274,9262,6354,5823,
实收资本(或股本)(万元),20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,15000,15000,15000,15000,5380,5380,3380,
资本公积(万元),13294,13294,13294,13294,13294,13294,13294,13294,13294,13294,463,463,463,463,1427,1427,1927,
减:库存股(万元),,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,
盈余公积(万元),1442,1442,1442,1442,1132,1132,1132,1132,774,774,774,774,371,,1338,947,817,
一般风险准备(万元),,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,
未分配利润(万元),8345,7577,7663,7578,7493,5803,6885,6840,6597,5533,4582,5464,3160,673,1834,2704,1989,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),42986,42327,42409,42325,41928,40237,41310,41273,40687,39614,20820,21702,19000,16138,9978,10458,8114,
少数股东权益(万元),-89,-37,15,-25,49,30,59,52,55,-66,1,-49,62,30,46,49,,
所有者权益(或股东权益)合计(万元),42897,42289,42424,42300,41977,40267,41370,41325,40742,39548,20821,21653,19062,16169,10024,10507,8114,
负债和所有者权益(或股东权益)总计(万元),72756,48804,48386,51767,49749,47137,48480,47902,47352,46640,29329,30654,27749,23443,19286,16860,13937,		
