报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),5293,9566,8247,13819,9364,11800,11937,15692,11605,13820,13714,24812,6168,8754,12289,10494,11973,10531,14865,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,
应收票据(万元),1077,2739,1884,1754,2246,3171,5840,6216,8704,8278,5634,4785,1267,1906,459,3478,3371,851,3866,
应收账款(万元),60776,55096,44552,45978,45578,41575,38035,34928,33095,33629,33583,35081,29821,28695,26949,25700,27309,22009,17326,
预付款项(万元),9624,8046,7016,4190,6749,6291,5317,3471,3198,1085,2285,1035,1061,1185,934,1589,1993,1483,480,
应收保费(万元),,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1934,,985,1689,1399,990,720,1352,651,720,432,618,344,219,158,98,416,275,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,
存货(万元),17080,14810,7682,5092,5847,5873,4753,4830,5580,4325,4352,3992,3842,3600,1922,961,1504,1997,2634,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),1293,1361,1448,1522,1055,1267,1022,977,1437,4443,7117,1491,956,736,686,697,254,,,
流动资产合计(万元),97085,93553,72283,73341,72528,71375,67893,66833,64972,66230,67405,71628,43732,45222,43457,43077,46501,37288,39446,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,693,693,693,693,693,693,693,694,500,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,10091,,7868,,7912,,7148,,6890,,6800,,6613,6296,,,,,
累计折旧(万元),,3883,,3381,,3288,,3103,,3015,,2965,,2723,2441,,,,,
固定资产净值(万元),,6208,,4487,,4625,,4046,,3875,,3835,,3890,3855,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,
固定资产(万元),,6208,,4487,4432,4625,4245,4046,4050,3875,3743,3835,3826,3890,3855,3288,3009,3303,2798,
在建工程(万元),,6373,,4523,2745,1981,1111,1410,382,365,170,142,151,151,347,1000,103,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,
无形资产(万元),7178,6859,6254,5540,2590,2654,2525,2593,1297,1332,1348,1382,1292,1350,1204,1404,1572,1174,1212,
