报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),9222,11148,8010,10958,18059,21434,3339,12428,40052,37247,25813,29519,53214,5969,9841,10887,11842,19030,2406,2028,3500,1997,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,7,6,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),9357,8211,7733,7340,8228,10520,14791,11302,6886,6145,3690,3629,3638,3073,3478,5506,4095,4120,4907,3395,2056,1976,
应收账款(万元),35067,33556,33600,30264,28896,35096,29940,31719,26384,18053,12987,12442,11359,11045,9598,9207,8912,10323,9007,8691,5847,5827,
预付款项(万元),2061,2301,3557,1552,1673,571,2774,460,878,734,729,297,553,480,533,269,413,449,145,251,246,525,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,967,608,448,546,423,370,420,327,680,374,286,304,147,105,514,158,168,219,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,
存货(万元),42400,42840,40027,35417,30632,21531,21929,17018,12623,11531,10428,7585,6416,6068,5798,5163,4927,5127,4844,3667,2719,2452,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),8515,8202,9243,9739,8659,5215,24505,23074,2421,4162,21608,21487,836,888,588,698,635,329,193,15,,,
流动资产合计(万元),110922,109062,106309,96622,97115,94975,97726,96547,89668,78242,75675,75287,76696,27897,30121,32033,30971,39483,22016,18206,14542,13003,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,,,350,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,77368,,69395,,49250,,44015,,21685,,19077,,13508,,13173,,12660,12494,12015,,,
累计折旧(万元),,14161,,11902,,8851,,7502,,6803,,6257,,5820,,5397,,4995,4601,3855,,,
固定资产净值(万元),,63207,,57493,,40399,,36513,,14882,,12819,,7688,,7776,,7665,7893,8160,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,63207,,57493,42579,40399,38088,36513,16756,14882,14020,12819,7765,7688,7579,7776,7547,7665,7893,8160,8495,7707,
在建工程(万元),,,,,13222,10436,6115,3833,15900,14704,11911,9371,11645,9581,6410,4110,3547,2640,1537,83,16,670,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),23044,22261,22980,22398,23656,12511,10581,10656,7807,7794,7854,7914,7951,8000,8044,8073,8129,8186,8299,8550,5000,4885,
开发支出(万元),625,1680,733,622,,,,,,,,,,,,,,,,,,,
商誉(万元),45761,45761,45761,45761,44045,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),325,257,331,237,261,,,,,,,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),838,842,879,797,285,304,253,272,227,160,118,117,103,102,92,89,82,92,84,77,55,52,
其他非流动资产(万元),2249,4011,2232,3023,4236,3166,5064,4445,5185,4180,4057,3127,2459,1857,1614,220,404,156,105,,,,
非流动资产合计(万元),143390,142198,140091,135787,128635,67166,60451,56070,46225,42069,38310,33699,30273,27579,24088,20618,20059,19089,18268,17220,13916,13665,
资产总计(万元),254311,251260,246400,232408,225749,162141,158177,152616,135893,120311,113985,108986,106968,55475,54209,52651,51030,58572,40283,35426,28458,26668,
