报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),74807,85597,112438,107006,119185,139043,112739,94664,76524,60228,76536,74864,51641,41255,50825,32083,35291,
结算备付金(万元),,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,
交易性金融资产(万元),9310,11379,1800,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,
应收票据(万元),402,402,518,1427,1025,1095,2004,1654,,,,,,,,,,
应收账款(万元),154701,133779,142208,125039,123237,105801,88330,81156,80627,72646,64464,61229,48510,45467,32890,22516,10001,
预付款项(万元),27265,25368,30656,7907,24272,10366,6357,4741,5083,5258,7825,3015,3849,1442,3045,988,372,
应收保费(万元),,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,
应收利息(万元),,2,16,6,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,
其他应收款(万元),,10321,,3194,3705,1814,1849,1487,1779,1545,1643,1177,1273,14642,24671,26575,31998,
应收出口退税(万元),,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,
存货(万元),36293,28723,24097,24191,20553,17837,14937,13858,13367,12909,9538,7359,11140,9441,8706,6739,3049,
待摊费用(万元),,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,
其他流动资产(万元),12451,12939,17778,59418,78835,91690,142914,185646,198919,171252,152802,172590,188290,175523,1251,295,551,
流动资产合计(万元),325724,308510,332990,328188,370811,367646,369130,383207,376300,323838,312807,320234,304703,287770,121388,89195,81260,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,25098,21691,20841,19252,20639,16835,9491,8649,8649,,,50,50,10,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,
长期应收款(万元),231,218,206,195,178,244,235,224,,,,,,,,,,
长期股权投资(万元),5269,4328,3594,2764,2206,1774,1754,1136,1188,1249,1299,1370,2563,2458,2546,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,
固定资产原值(万元),,162179,,147619,,107842,,98654,,81840,76473,73557,52741,,45281,,,
累计折旧(万元),,51532,,41058,,31233,,26184,,22127,20129,18156,10661,,10916,,,
固定资产净值(万元),,110647,,106560,,76609,,72470,,59713,56344,55401,42080,,34365,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,
固定资产(万元),,110647,,106560,86084,76609,77749,72470,66784,59713,56344,55401,42080,32842,34365,20578,13116,
在建工程(万元),,8609,,8692,705,6131,355,1474,1237,1063,519,263,989,823,6388,7117,465,
工程物资(万元),,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,
无形资产(万元),15405,15097,15254,15652,14979,15154,15584,16014,16035,16321,16766,17167,18924,19666,20325,21304,12,
开发支出(万元),879,1302,547,391,,,,,,,,,,,,,,
商誉(万元),4711,4711,4711,4711,,,,,,,,,,,,,,
长期待摊费用(万元),6267,6488,6405,6932,7787,8097,7501,7397,6509,6673,7085,7414,4962,5670,3712,3491,2453,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,
递延所得税资产(万元),11744,10810,8402,7124,7003,6299,5008,4883,4460,4396,4544,3845,3877,4582,4989,4906,2975,
其他非流动资产(万元),36833,39587,21172,18833,20705,21206,8421,3737,7913,9005,7997,8667,12987,11185,11128,3101,77,
非流动资产合计(万元),237138,236036,197861,196952,161338,156355,135859,127974,120962,107911,103203,102775,86383,77226,83503,60546,19108,
资产总计(万元),562862,544546,530851,525140,532149,524001,504989,511181,497262,431749,416010,423009,391086,364996,204891,149740,100368,
短期借款(万元),,,,,,500,800,800,800,300,300,300,813,1309,731,245,90,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,
应付票据(万元),5000,5000,,,,6779,,,,,,,,,,,,
应付账款(万元),14636,16431,,13903,,10207,9185,11966,18120,10925,6630,5792,4680,4608,4518,5525,3778,
预收账款(万元),46559,42566,39223,40682,43206,43090,35614,39250,38955,42515,42004,43809,44606,39356,32751,33066,31421,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),264,3294,3320,8942,1117,3572,3824,9846,2568,4132,2478,7053,4501,2615,2225,3027,2220,
应交税费(万元),9413,6805,8027,6683,9322,6883,4659,4338,4111,3522,4091,3622,4234,3015,2664,2777,1520,
应付利息(万元),,,,,,,,,,,,,,,,,,
应付股利(万元),468,468,593,593,,643,468,468,468,468,468,190,711,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,
其他应付款(万元),,19504,,19813,11489,9431,9136,11102,9930,9040,9289,9622,6649,8755,5542,37140,41184,
预提费用(万元),,,,,,,,,,,,,,,,,,
预计流动负债(万元),253,585,874,709,649,559,490,467,1395,1436,1350,1015,1349,2055,2323,3658,2686,
应付分保账款(万元),,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,1781,1743,1197,1304,2352,634,388,
应付短期债券(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,2408,3106,2313,2394,3219,3071,2170,1978,,,,,,,,
