报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),19838,34803,29597,46340,24705,33006,108799,26215,17578,16573,9999,5967,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),12940,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,
应收账款(万元),15978,13229,10198,10023,14091,8465,5013,9495,7387,6067,4487,4820,
预付款项(万元),10190,9921,6721,5294,6758,6309,4542,4264,3923,3180,1244,883,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),233,210,282,266,,606,,,,,,,
应收股利(万元),,,,,,,,,,,,,
其他应收款(万元),,4982,,2124,3229,1789,823,585,653,560,787,549,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),74144,53405,52928,56610,71975,45724,28378,27670,23187,31434,24666,7394,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,
其他流动资产(万元),26836,31274,43689,48079,71834,77934,2547,3601,5204,2922,470,53,
流动资产合计(万元),163925,147823,145986,168736,192591,173833,150103,71830,57933,60736,41652,19665,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,
固定资产原值(万元),,14230,,13762,,12179,,11924,,5999,,,
累计折旧(万元),,2788,,2305,,1848,,1439,,812,,,
固定资产净值(万元),,11442,,11457,,10331,,10485,,5187,,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,11442,,11457,11327,10331,10488,10485,10717,5187,4580,556,
在建工程(万元),,178,,,,,,,5,7,,,
工程物资(万元),,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),7397,7449,7506,829,878,877,544,593,569,586,473,1,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,
长期待摊费用(万元),1253,1308,1383,1325,1276,1295,1060,1168,1274,1413,1768,347,
股权分置流通权(万元),,,,,,,,,,,,,
