报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),39128,38111,38218,37249,24975,14032,11877,8860,39288,45483,222755,54551,33953,26173,16034,15685,13104,10233,
结算备付金(万元),,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),317816,315657,284588,,,,,,,,,,,,134,,44,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,,3,,5,,
应收账款(万元),45558,44297,33367,30938,30881,23771,22124,17653,20226,21685,18849,13648,13847,9686,7604,7216,4526,4284,
预付款项(万元),679,750,1219,506,653,269,391,448,521,467,1320,222,161,265,89,59,233,200,
应收保费(万元),,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1736,,1080,433,431,509,381,436,445,252,198,692,448,426,576,350,488,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,
存货(万元),22220,19044,19041,19739,14864,13815,13510,18233,18996,14006,8711,8911,6435,7333,5733,5737,4982,3231,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,
其他流动资产(万元),974,885,1342,270499,261753,253163,252538,241846,194619,176667,2130,3372,516,422,461,268,813,,
流动资产合计(万元),427619,420480,378222,360011,333559,305480,300950,287421,274087,258753,254016,80902,55604,44327,30484,29541,24057,18435,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,
长期股权投资(万元),4287,90,90,90,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,
投资性房地产(万元),398,411,423,436,453,466,,,,,,,,,,,,,
固定资产原值(万元),,13628,,13442,,13312,,13144,,3514,,3097,,2804,,,,,
