报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),11479,17765,14511,23654,20757,13122,16526,17729,17552,20141,30601,9648,6220,3279,2672,2526,5901,5888,
结算备付金(万元),,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,
应收票据(万元),252,,,410,176,,32,,,0,20,30,16,56,71,,,,
应收账款(万元),68456,64887,60010,55408,54809,53779,50205,41948,42848,40691,37405,34734,33791,33331,33059,30515,19242,12308,
预付款项(万元),27,12,10,,12,16,3,,53,98,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,
其他应收款(万元),,3384,,2078,1838,2164,2783,1544,2168,1878,2364,1593,1645,1001,1245,1273,1189,688,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,
存货(万元),,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,
其他流动资产(万元),45,40,126,1,0,,71,71,,98,0,3600,3601,3100,595,,1,,
流动资产合计(万元),84334,86088,79354,81550,77592,69082,69621,61292,62621,62907,70389,49605,45272,40767,37641,34314,26333,18884,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,
长期股权投资(万元),8590,871,860,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,5158,,4172,,4158,,3970,,3933,,285,,264,,,,,
累计折旧(万元),,933,,511,,420,,255,,222,,217,,182,,,,,
固定资产净值(万元),,4225,,3661,,3738,,3714,,3712,,67,,82,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,
固定资产(万元),,4225,,3661,3699,3738,3761,3714,3702,3712,60,67,74,82,77,89,89,83,
在建工程(万元),,,,,,,,,,,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,
无形资产(万元),178,201,230,193,205,146,168,175,87,103,110,136,131,147,171,136,19,16,
开发支出(万元),,,,,,,,,,,,,,,,,,,
商誉(万元),17391,17088,16999,12916,12916,12916,12916,,,,,,,,,,,,
长期待摊费用(万元),195,241,232,189,241,246,247,233,233,24,77,40,47,71,98,118,137,152,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),1940,1667,1655,1320,1641,1648,1538,1450,688,750,600,590,455,500,511,881,567,403,
其他非流动资产(万元),291,159,159,198,122,117,19,4519,,34,,,,,,,86,,
非流动资产合计(万元),32791,24453,24347,18477,18824,18811,18649,10092,4711,4623,847,834,707,800,856,1224,899,654,
资产总计(万元),117125,110542,103701,100027,96417,87892,88270,71384,67331,67530,71236,50438,45979,41567,38497,35539,27232,19537,
短期借款(万元),11674,8349,5993,5953,5420,3550,1150,,,,3000,3000,3500,3000,3970,4076,3024,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,,,
应付账款(万元),,20,,,,,,,,,,,,,,,,,
预收账款(万元),3050,3698,2447,1603,1512,1463,1444,1433,1289,1205,1144,1179,1599,1361,1576,1858,1431,1534,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),2315,1992,1511,2994,2354,1841,1846,3069,2498,2159,2098,3184,2718,3451,2582,3377,2273,1616,
应交税费(万元),2184,1108,1632,1102,1386,1437,1993,1597,610,425,624,499,2011,2340,1900,1922,1701,914,
应付利息(万元),21,16,12,13,,4,,,,,4,5,6,6,28,35,18,,
应付股利(万元),,32,591,400,,400,,,,,,,520,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,
其他应付款(万元),,11329,,4862,4600,4464,15865,3104,2143,4485,6445,6143,4326,2054,1861,2563,1139,2014,
预提费用(万元),,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),4913,4913,7184,4071,,,,,,,,,,,,,,,
其他流动负债(万元),4048,3787,3581,3370,3103,3006,2862,2527,2270,2334,2129,2028,,,,,,,
流动负债合计(万元),38698,35243,31146,24368,18376,16165,25160,11731,8810,10608,15445,16038,14679,12212,11917,13832,9585,6079,
长期借款(万元),4500,4950,4050,3600,4500,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,
长期应付款(万元),,7062,,4757,7928,7928,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,
长期递延收益(万元),177,,,,,,,,,,,,,,,,,,
递延所得税负债(万元),66,68,70,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,,
非流动负债合计(万元),12473,12079,11181,8357,12428,7928,0,0,0,0,0,0,0,0,0,0,0,0,
负债合计(万元),51171,47322,42327,32725,30803,24093,25160,11731,8810,10608,15445,16038,14679,12212,11917,13832,9585,6079,
实收资本(或股本)(万元),13633,13633,13633,13633,13568,13568,13568,13568,13568,8480,8480,6360,6360,6360,6336,6000,6000,5500,
资本公积(万元),17231,17125,17066,22588,22080,22064,22048,22033,22017,27089,26725,8596,8564,8532,8218,5829,5765,4454,
减:库存股(万元),536,536,536,536,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,
盈余公积(万元),3320,3320,3320,3320,2831,2831,2831,2831,2313,2313,2313,2313,1763,1763,1261,1254,779,350,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,
未分配利润(万元),29302,27697,25944,25697,24761,23231,22471,21222,20624,19040,18273,17131,14613,12699,10764,8625,5102,3154,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),62951,61239,59427,64703,63240,61694,60919,59653,58522,56922,55791,34400,31301,29355,26580,21707,17647,13459,
少数股东权益(万元),3003,1980,1947,2600,2373,2105,2191,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),65954,63219,61374,67303,65613,63799,63110,59653,58522,56922,55791,34400,31301,29355,26580,21707,17647,13459,
负债和所有者权益(或股东权益)总计(万元),117125,110542,103701,100027,96417,87892,88270,71384,67331,67530,71236,50438,45979,41567,38497,35539,27232,19537,		
