报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),172683,167842,168943,168982,161399,61382,54273,21404,5420,3467,3993,11284,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),2000,2000,3000,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),2453,1316,1958,1223,927,,,,,,,,
应收账款(万元),20186,27824,17872,21912,14372,,,,655,,922,1523,
预付款项(万元),336,255,255,265,190,599,579,427,123,49,74,42,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),1076,1090,745,801,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,
其他应收款(万元),,85,,5,18,7,16,14,85,227,232,48,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),1458,886,1286,962,1255,1158,1722,2043,1794,1346,1449,1026,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,
其他流动资产(万元),323,302,361,300,807,307,618,10398,31152,34273,19457,8,
流动资产合计(万元),200554,201601,194436,194449,178968,84401,65066,36884,39228,40216,26127,13930,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,51375,55950,55657,54599,4025,4025,,,,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,
长期股权投资(万元),4779,4779,3000,,,,,14779,13369,12019,9514,7378,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,
固定资产原值(万元),,42504,,40503,,40257,39746,24358,,23609,,,
累计折旧(万元),,11043,,9803,,8572,7346,5825,,4556,,,
固定资产净值(万元),,31462,,30700,,31685,32400,18533,,19054,,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,31462,,30700,31233,31685,32400,18533,18892,19054,18028,17450,
在建工程(万元),,4536,,6267,6239,6268,6037,5652,4533,1146,250,532,
工程物资(万元),,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,
生产性生物资产(万元),230,261,118,134,152,11,23,75,123,143,3,21,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),7528,7672,7885,8044,8283,8487,8962,9866,10340,10817,11769,12000,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,
长期待摊费用(万元),,,,1,1,1,1,2,2,3,,,
股权分置流通权(万元),,,,,,,,,,,,,
递延所得税资产(万元),296,954,148,714,157,197,77,38,44,172,121,134,
其他非流动资产(万元),297,312,355,336,238,234,259,12375,129,1011,691,68,
非流动资产合计(万元),108668,100783,105100,97570,102253,102539,102358,65345,51458,44364,40377,37583,
资产总计(万元),309222,302384,299535,292019,281221,186940,167424,102229,90687,84580,66504,51513,
短期借款(万元),,,,,,,,,,,,,
向中央银行借款(万元),,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,
应付账款(万元),23754,28188,,23108,,,,,3638,,4824,3633,
预收账款(万元),142,174,415,319,178,163,1305,2148,1738,692,3269,8425,
卖出回购金融资产款(万元),,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,
应付职工薪酬(万元),1097,854,556,1319,393,435,996,855,219,582,552,647,
应交税费(万元),1489,2770,1826,2417,1721,3619,1907,726,1034,1546,1285,2243,
应付利息(万元),,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,
其他应付款(万元),,4637,,5393,5459,5534,5694,2906,2077,2684,1975,1114,
预提费用(万元),,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,
流动负债合计(万元),31139,36623,30369,32556,28404,29101,20189,9253,8706,10415,11905,16062,
长期借款(万元),,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,
长期递延收益(万元),4317,4466,4568,4669,4771,4873,5077,5484,5688,5838,5797,4106,
递延所得税负债(万元),7322,6766,7023,6722,6784,6740,6627,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,
非流动负债合计(万元),11639,11231,11590,11392,11556,11614,11704,5484,5688,5838,5797,4106,
负债合计(万元),42778,47855,41959,43948,39960,40715,31893,14737,14395,16253,17702,20168,
实收资本(或股本)(万元),16000,16000,16000,16000,16000,12000,12000,12000,12000,12000,12000,12000,
资本公积(万元),98182,98182,98182,98182,98182,13040,13040,13040,13040,13040,13040,13029,
减:库存股(万元),,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,
盈余公积(万元),8000,8000,8000,8000,6286,6286,6286,6286,4353,4353,2407,647,
一般风险准备(万元),,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,
未分配利润(万元),141097,135667,133644,128727,119742,114098,104048,56167,46728,38935,21356,5526,
拟分配现金股利(万元),,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,
归属于母公司股东权益合计(万元),266444,254529,257576,248071,241261,146225,135531,87492,76292,68327,48802,31202,
少数股东权益(万元),,,,,,,,,,,,143,
所有者权益(或股东权益)合计(万元),266444,254529,257576,248071,241261,146225,135531,87492,76292,68327,48802,31345,
负债和所有者权益(或股东权益)总计(万元),309222,302384,299535,292019,281221,186940,167424,102229,90687,84580,66504,51513,		
