报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),43298,27582,28307,30237,30949,17580,11027,11439,11307,6347,21682,9356,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,60,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),373,329,267,416,57,462,171,,,,25,158,
应收账款(万元),38689,29477,27057,26713,25015,24801,19113,18927,19850,17752,17287,17398,
预付款项(万元),2772,3507,3548,2448,4131,3945,6042,3269,1828,2007,660,1006,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,
其他应收款(万元),,1610,,2004,909,5797,1027,732,711,804,3270,11340,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),43726,40521,40168,37633,32519,28774,25010,20761,20272,21108,14669,16807,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,
其他流动资产(万元),5407,3681,5524,3782,17142,30258,2396,2480,1847,1442,17001,1612,
流动资产合计(万元),136255,106708,107652,103234,110721,111618,64846,57608,55815,49460,74593,57679,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,1200,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,
长期股权投资(万元),55,58,61,64,58,63,77,82,100,,,,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,119,
固定资产原值(万元),,82564,,75666,,74139,,78219,,73044,58657,,
累计折旧(万元),,29754,,26397,,24684,,24124,,23120,19832,,
固定资产净值(万元),,52810,,49269,,49455,,54095,,49925,38825,,
固定资产减值准备(万元),,261,,261,,261,,261,,261,164,,
固定资产(万元),,52549,,49009,51159,49195,53078,53834,49103,49664,38662,41128,
在建工程(万元),,17813,,13993,8426,8297,6361,5575,5738,1166,2463,1103,
工程物资(万元),,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),13001,13077,13159,13240,13132,7098,9433,9484,9609,9727,9437,7352,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),9323,9323,9323,3196,3153,1495,1495,1495,1495,1495,1495,1495,
长期待摊费用(万元),199,196,152,154,152,160,187,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,
递延所得税资产(万元),1198,1161,1157,1232,1338,1426,1290,1311,1340,1281,841,372,
其他非流动资产(万元),2514,2293,1130,873,,,,,,,,529,
非流动资产合计(万元),103086,96470,91545,81761,77417,67735,71920,71781,67385,63333,52897,53298,
资产总计(万元),239341,203178,199198,184995,188139,179352,136766,129389,123200,112793,127490,110977,
短期借款(万元),64710,49910,49910,36000,45500,43780,47245,41000,41520,39000,43430,61670,
向中央银行借款(万元),,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,
交易性金融负债(万元),357,20,,,200,437,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,
应付票据(万元),5616,5238,,5045,,5445,5645,5725,6173,3266,27845,6295,
应付账款(万元),24769,15253,,18935,,12370,13557,13402,12367,11645,9372,13228,
预收账款(万元),1593,1341,512,383,429,504,858,342,401,784,899,1032,
卖出回购金融资产款(万元),,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,
应付职工薪酬(万元),5419,3553,3049,3193,2891,2459,2095,2638,2562,2723,2534,2433,
应交税费(万元),1688,930,808,1957,1454,1145,737,1528,1052,967,1041,474,
应付利息(万元),80,63,69,50,62,52,76,56,63,76,60,124,
应付股利(万元),,,,,,,,,,,,259,
其他应交款(万元),,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,
其他应付款(万元),,5479,,1835,,2258,1842,1621,2664,2427,14322,9271,
预提费用(万元),,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,310,573,,,,,,,162,,
其他流动负债(万元),,,,,,,,,,,,,
流动负债合计(万元),113500,81786,77328,67970,74353,68450,72055,66311,66803,60888,99666,94786,
长期借款(万元),,,,,,,,,,,,4800,
应付债券(万元),,,,,,,,,,,,,
长期应付款(万元),,179,,147,967,1197,1513,1707,2232,3075,,554,
专项应付款(万元),,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,
长期递延收益(万元),4183,4162,4262,4411,4860,5061,5206,5351,5716,5011,1579,260,
递延所得税负债(万元),,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,
非流动负债合计(万元),4378,4341,4410,4559,5827,6258,6719,7058,7948,8087,1579,5614,
负债合计(万元),117878,86127,81737,72529,80180,74708,78774,73369,74751,68975,101245,100400,
实收资本(或股本)(万元),14000,14000,10000,10000,10000,10000,7500,7500,7500,7500,6696,1893,
资本公积(万元),65931,65931,69931,69931,69931,69931,29003,29003,29002,29002,12157,8913,
减:库存股(万元),,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,
盈余公积(万元),1849,1849,1849,1849,1242,1242,1242,1242,495,495,1121,527,
一般风险准备(万元),,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,
未分配利润(万元),36603,33103,33654,30592,26704,23389,20150,18179,11379,6749,5892,-1421,
拟分配现金股利(万元),,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,
归属于母公司股东权益合计(万元),118635,114905,115434,112372,107877,104562,57895,55923,48375,43746,25865,9912,
少数股东权益(万元),2828,2146,2027,94,81,82,97,96,74,73,379,665,
所有者权益(或股东权益)合计(万元),121463,117051,117461,112466,107959,104644,57992,56019,48449,43818,26245,10577,
负债和所有者权益(或股东权益)总计(万元),239341,203178,199198,184995,188139,179352,136766,129389,123200,112793,127490,110977,		
