报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),76637,67682,98067,107783,102774,103319,118402,126092,109376,105685,117814,76221,88282,96347,107082,37584,39099,52332,23558,25511,20976,20474,23506,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),25800,28000,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),,,12945,9575,5071,10038,19155,21920,18416,17077,19192,17747,14314,19719,22510,14916,23607,15723,1874,1935,4261,2019,668,
应收账款(万元),84188,89694,75429,60591,76905,68735,49885,50698,63051,60350,40731,41302,47192,52145,44212,45476,45287,44471,27048,17258,17198,16372,15085,
预付款项(万元),4473,2910,6286,534,2653,3246,3435,533,1551,1949,780,363,789,843,734,104,150,125,411,695,656,254,566,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,3908,,3275,1469,3229,4210,1782,1413,1452,995,665,653,774,1030,662,854,493,256,401,156,270,4414,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),45906,49743,37487,36705,37900,34924,35669,37817,40717,51556,44724,37545,32540,31479,35585,34712,37134,34108,26611,15570,10534,10789,7908,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),4854,5363,4854,6168,865,3494,3679,5173,15337,16364,16324,55170,36282,13303,22961,29578,12476,345,309,124,,,,
流动资产合计(万元),260552,256955,236711,224630,227638,226986,234436,244015,249861,254432,240561,229014,220052,214609,234115,163032,158607,147598,80068,61494,53780,50179,52147,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,1600,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),2530,2266,,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,56628,,59170,,41130,,40028,,35725,,33502,,25401,,25015,24578,22440,,,,12714,,
累计折旧(万元),,17923,,18383,,18148,,15707,,13795,,12598,,11684,,10715,10326,8884,,,,3381,,
固定资产净值(万元),,38705,,40787,,22982,,24321,,21930,,20904,,13717,,14300,14252,13556,,,,9333,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,38705,,40787,22951,22982,24284,24321,23884,21930,20946,20904,14057,13717,13846,14300,14252,13556,12960,13500,13428,9333,9140,
在建工程(万元),,1791,,3526,18226,14881,14274,12711,4166,2758,1722,1670,4696,4693,4713,4554,1655,9,,,2,2169,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),5656,6038,7157,7218,7702,7932,8324,8732,9031,9374,6966,7262,7516,7745,3754,3820,3869,3700,3783,4028,3838,3531,540,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
商誉(万元),6813,6813,6813,6813,6909,6909,6909,6909,6847,6847,,,,,,,,,,,,,,
长期待摊费用(万元),194,191,185,197,196,196,6,,,,,,,,,,,,85,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),2170,2130,1919,1919,1770,1994,1768,1781,1641,1632,1261,1267,1227,1250,1299,1262,1082,665,485,212,156,149,159,
其他非流动资产(万元),3748,3854,466,464,2049,1900,1630,247,6169,2782,1902,1624,2428,767,5183,588,294,528,,,,,,
非流动资产合计(万元),63090,61889,58372,60925,59803,56793,58794,54701,51738,45322,32798,32727,29923,28172,28794,24525,21152,18458,17314,17740,17424,15182,9839,
资产总计(万元),323642,318844,295083,285555,287441,283779,293229,298716,301599,299754,273359,261741,249976,242781,262909,187557,179759,166056,97382,79234,71204,65361,61986,
短期借款(万元),,1600,1600,1600,,,,,,,,,,,,,,,,2000,1000,500,2000,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,57,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,9,,,,,,,,,,,,,,,,,,,,
应付票据(万元),35979,28486,,24944,,25257,33595,39718,34827,31203,27185,26071,27699,26304,26931,35410,38825,27691,6694,8565,3318,1784,3264,
应付账款(万元),58900,67989,,41550,,38580,41402,39091,47994,53357,41953,35853,31838,30174,30708,31305,28325,41341,27210,12408,10995,14247,12067,
预收账款(万元),1171,1744,1006,460,2358,2501,797,1248,1306,1053,1352,1328,675,1040,1553,357,601,326,141,325,1065,84,21,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),3487,3356,5436,4846,3879,3540,5265,4970,4952,3905,5216,4609,3790,3238,5209,5077,3602,5334,2320,1419,1154,1031,965,
应交税费(万元),4296,2882,2586,2748,1713,3391,2996,3173,3341,3972,5157,3602,3648,3428,3748,3996,3879,2757,3230,1948,2288,1742,4968,
应付利息(万元),,,,3,,,,,,,,,,,,,,,,3,2,,,
应付股利(万元),,,,,3,27,,15,15,16,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,1659,,2233,2753,3322,6356,6584,4454,4362,260,446,317,795,17598,327,713,91,190,126,259,338,206,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,4,,6,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),108415,107717,89294,78393,79070,76617,90411,94799,96890,97869,81123,71910,67967,64978,85747,76472,75945,77540,39786,26795,20081,19726,23491,
长期借款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,79,76,,30,,,,,,,,,,,,,79,,,
长期递延收益(万元),4983,5194,5826,5695,5664,5963,5848,5858,5282,5344,4544,4605,4598,4281,4314,4347,3880,3778,3745,3881,,,,
递延所得税负债(万元),222,242,326,281,287,307,326,346,368,399,,,,,,,,,,51,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,,,,3153,1601,832,
