报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
短期借款(万元),18182,17687,17334,17658,17041,17042,16318,16836,16986,16936,17714,17343,500,500,,3000,14677,28441,43365,43346,457754,468305,359653,347123,348882,338448,293458,292380,286895,255959,209224,154284,168910,160496,151463,143713,79855,67257,68299,47797,47803,44401,55755,40756,6818,37101,38548,42218,8000,8000,6700,3700,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,,0,0,,,,0,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
应付票据(万元),,,,,,,,,,,,194,,,,600,2290,1410,,,,5000,7000,6000,7000,3000,3000,,18500,14500,,0,,,,,,0,,0,36400,50400,14000,,0,,0,0,5000,,7500,5000,
应付账款(万元),31333,28929,,27170,,,30560,26540,39826,42137,37362,38528,40257,40634,37762,39672,39026,39234,47047,63926,82328,80745,92443,89925,96238,72807,79932,68228,58140,54245,68369,42353,55147,51359,28202,26692,23096,22945,24122,28862,8111,10184,14630,6046,6261,4752,3488,5244,1971,1981,1855,3176,
预收账款(万元),378,751,179,207,834,587,1163,503,1434,2541,1092,3807,4123,5641,5264,4115,3435,5822,3365,3822,2924,3431,2608,2407,6965,1893,1836,1339,841,1279,1034,1051,612,618,682,1442,818,1272,756,26795,37,101,252,117,538,22,3793,417,283,111,694,1359,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
应付职工薪酬(万元),7067,6955,6546,7486,7419,6975,6968,7648,7505,7764,7754,8559,10445,9221,7160,8531,2968,2748,2864,4421,3977,3648,2813,2458,4179,3746,3250,3323,4800,4013,3210,1845,1510,1498,1998,582,505,582,1547,967,487,542,1071,373,1949,834,437,782,7333,8542,1389,11295,
应交税费(万元),6191,3366,4827,3832,1948,2385,2111,403,1130,859,1654,915,1798,1727,530,647,230,756,674,636,438,445,-810,105,404,328,326,1023,458,204,857,1249,936,253,-90,9,1444,648,3630,2829,1624,3470,2520,4904,5489,5203,8778,5845,4475,2975,1585,3519,
应付利息(万元),436,470,542,454,404,,396,415,346,342,372,379,345,358,581,466,465,448,450,109,18933,23998,16239,5278,3893,2643,6887,5860,2469,976,4740,5200,1910,541,3780,4109,1507,416,3595,3619,1463,396,5385,4760,1795,783,4204,3205,,,,131,
应付股利(万元),14,14,14,14,14,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,158,166,166,0,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
其他应付款(万元),,629,,1887,,1157,922,727,767,955,1095,1293,2712,2318,2895,2812,8801,6824,2934,17700,61768,46049,41853,41070,2341,2777,3605,2432,1953,1472,526,793,842,558,535,767,915,1323,175,1139,8718,25198,28118,35816,49362,62400,79302,71092,5671,7368,13673,47285,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
一年内到期的非流动负债(万元),53660,54644,53971,62894,66323,65965,55455,54345,41483,41627,33841,55047,42483,76217,47275,39591,36692,39909,43435,35267,217647,191773,287358,306137,191481,182165,168595,201684,173325,169161,141252,137946,110206,94175,97210,104489,96730,65635,74312,130254,80983,88810,101238,101323,107426,73029,41667,8557,,5000,10000,43004,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,160,159,,0,36,471,158,,,,723,
流动负债合计(万元),117890,113444,116613,121603,128370,129628,113907,107431,109491,113175,100899,126078,102678,136630,101482,99449,108599,125607,144147,169242,845785,823408,809174,800518,661398,607820,560905,576283,547396,501823,429226,344737,340087,309512,283795,281817,204885,160093,176450,242276,185641,223677,223141,194109,179653,184174,180701,137519,32891,34143,43562,119193,
长期借款(万元),216144,219127,236994,215220,215733,207152,225429,230371,239024,243107,264235,255576,264812,276391,316281,316383,324450,324136,330916,332026,527050,544904,567623,574815,597823,649900,693283,707522,770676,790850,827346,811420,797754,797076,803580,811570,747881,706329,673229,526880,487404,430890,435384,435048,419792,329498,334382,347186,112000,107000,92000,98237,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,,,0,
长期应付款(万元),,9820,,65401,70955,73825,47060,36804,30203,32912,52492,68928,83412,87369,113598,127061,142734,143738,141809,155553,149166,158870,161441,165685,170156,175934,181390,163302,155623,122824,125231,126462,129828,133334,77530,79481,92437,94452,96268,67201,68147,69080,,,0,,0,0,,,,0,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,0,,,,,,0,,0,,0,,,0,,0,0,,,,0,
预计非流动负债(万元),918,918,918,918,,,,,,,,,,,,,,,2456,2448,,,,,,,,,,,,0,251,251,251,251,316,316,321,321,266,1707,1023,1023,1501,1473,1500,1598,,,,1978,
长期递延收益(万元),,,,,,,,,,,,,107,7,7,7,12,12,17,17,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,0,,,400,400,400,400,478,478,627,638,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,,,,34728,35373,36019,36665,36485,37121,38377,39023,39669,26472,26896,27319,24473,25274,26076,26878,27691,28503,29311,28245,27678,28449,50,51,52,53,54,55,56,58,1068,0,
非流动负债合计(万元),227326,231514,250094,283304,288482,282858,274414,269153,271185,278017,318758,326573,349705,365165,431318,444939,468684,469564,476929,491783,710944,739148,765084,777165,904665,962955,1013051,1009847,1065968,1040146,1079473,1065201,1052306,1055936,1007438,1018180,968325,929601,899129,722647,683495,630126,536457,536122,521745,431425,436336,449239,112534,107535,93696,100852,
负债合计(万元),345216,344958,366707,404907,416851,412486,388321,376584,380676,391192,419657,452652,452383,501795,532799,544388,577283,595170,621076,661025,1556729,1562555,1574257,1577682,1566063,1570775,1573956,1586129,1613364,1541969,1508699,1409938,1392393,1365448,1291233,1299998,1173209,1089694,1075579,964923,869136,853803,759599,730231,701398,615599,617037,586758,145425,141678,137258,220046,
实收资本(或股本)(万元),502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,502340,339419,339419,339419,339419,339419,339419,339419,339419,339419,339419,339419,339419,339419,339419,188566,161066,161066,161066,161066,161066,161066,161066,161066,161066,161066,161066,89481,89481,53360,53360,53360,51616,
资本公积(万元),405299,405299,405299,405299,405299,405299,405299,405299,405299,405299,405299,405299,405299,405299,405299,405299,401116,401116,401116,401116,140640,140640,140640,140640,140640,140640,140640,140640,140383,140383,140383,140383,140383,140383,274265,149368,149368,149368,149368,149368,149575,149426,149426,149426,150144,150144,203833,203833,42578,42578,42578,54711,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,0,,,0,,0,0,,,,0,
专项储备(万元),168,573,623,,297,440,504,,319,145,284,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,0,,,,,,,,,,,
盈余公积(万元),33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33951,33951,33951,33951,33319,33319,33319,33319,32159,32159,32159,32159,29775,29427,29427,29427,26291,26291,26230,26670,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,0,,,0,,0,0,,,,0,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
未分配利润(万元),-511012,-530551,-546280,-564258,-578238,-579635,-591304,-600283,-611050,-621716,-628858,-641335,-653849,-668404,-682140,-697302,-712377,-733137,-748092,-760057,-794735,-787851,-743503,-717952,-224265,-198636,-161735,-125794,-95972,-66492,-29247,-1911,22121,43961,85231,94822,106175,106146,102715,94570,95497,97265,116290,111413,99829,90188,112687,82171,51132,45337,45638,55275,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,0,,0,0,,,,0,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,-8852,-8869,-8710,-5506,-10053,-10507,-11157,-11244,-11036,-11066,-11254,-11205,-10870,-9660,-8404,-7044,-6339,-4162,-3646,-3618,-3606,-3595,-3577,-3572,-3056,-2774,-1994,-660,,,,742,
归属于母公司股东权益合计(万元),435621,411230,391814,376521,362231,357174,340036,334433,325308,317023,311692,299543,284343,269260,254845,239494,218417,198134,182846,170540,-289850,-282983,-238476,-209721,279419,304593,340845,376699,406471,435921,472979,500363,525003,548054,573609,432163,443590,445737,442823,434706,434692,436322,455364,450493,437759,428052,433434,404252,173361,167566,167806,189013,
少数股东权益(万元),11165,10911,11626,11287,11155,11078,10923,10891,10949,10886,10563,10417,9985,9825,9681,9514,9131,9168,9102,8919,9909,9684,9527,9462,9478,9523,9309,9168,5221,5086,5083,6658,6696,6482,6360,6174,6735,2238,2191,2274,2243,2868,2906,2914,3274,3391,3602,2889,423,496,662,3480,
所有者权益(或股东权益)合计(万元),446786,422141,403440,387808,373385,368252,350958,345324,336257,327908,322255,309960,294328,279086,264526,249008,227548,207302,191948,179459,-279940,-273299,-228948,-200259,288897,314116,350154,385867,411692,441007,478062,507021,531699,554536,579968,438337,450325,447975,445014,436981,436935,439190,458270,453407,441033,431443,437036,407141,173784,168062,168468,192494,
负债和所有者权益(或股东权益)总计(万元),792002,767099,770147,792715,790237,780738,739279,721908,716932,719100,741912,762612,746710,780881,797325,793396,804831,802473,813024,840485,1276788,1289256,1345309,1377424,1854960,1884892,1924110,1971996,2025055,1982976,1986761,1916959,1924093,1919984,1871201,1738335,1623534,1537669,1520593,1401903,1306070,1292992,1217869,1183638,1142431,1047042,1054073,993899,319209,309741,305726,412539,		
