报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),20584,17421,18395,7816,15449,13013,6753,3338,4070,
结算备付金(万元),,,,,,,,,,
拆出资金(万元),,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,
应收票据(万元),3036,7691,,,,,1964,280,994,
应收账款(万元),28323,28304,,,,,12304,11842,6979,
预付款项(万元),2873,1991,1651,2132,1586,1083,177,119,738,
应收保费(万元),,,,,,,,,,
应收分保账款(万元),,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,
应收利息(万元),,,,,,,,,,
应收股利(万元),,,,,,,,,,
其他应收款(万元),1401,1561,,1059,1351,385,468,334,239,
应收出口退税(万元),,,,,,,,,,
应收补贴款(万元),,,,,,,,,,
应收保证金(万元),,,,,,,,,,
内部应收款(万元),,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,
存货(万元),22905,18121,16355,21508,14629,9810,6619,6033,6919,
待摊费用(万元),,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,
一年内到期的非流动资产(万元),953,952,456,296,,,,,,
其他流动资产(万元),4905,5671,360,1900,665,2974,202,75,178,
流动资产合计(万元),91061,81713,72431,54514,55561,45481,28487,22022,20117,
发放贷款及垫款(万元),,,,,,,,,,
可供出售金融资产(万元),,,717,750,937,937,452,452,516,
持有至到期投资(万元),,,,,,,,,,
长期应收款(万元),1651,1240,913,763,,,,,,
长期股权投资(万元),160,244,175,,,,,,,
其他长期投资(万元),,,,,,,,,,
投资性房地产(万元),202,209,224,239,253,283,312,341,,
固定资产原值(万元),12090,11551,,,,,,,,
累计折旧(万元),3815,3451,,,,,,,,
固定资产净值(万元),8275,8100,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,
固定资产(万元),8275,8100,,6963,6437,3838,2208,1866,689,
在建工程(万元),249,183,,151,332,16,,,933,
工程物资(万元),,,,,,,,,,
固定资产清理(万元),,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,
油气资产(万元),,,,,,,,,,
无形资产(万元),1870,1913,1498,1542,938,632,228,183,21,
开发支出(万元),,,,,,,,,,
商誉(万元),,,,,,,,,,
长期待摊费用(万元),904,795,701,403,471,610,490,206,44,
股权分置流通权(万元),,,,,,,,,,
递延所得税资产(万元),1620,1546,1216,762,707,686,463,468,641,
其他非流动资产(万元),1308,1020,962,342,418,222,378,240,62,
非流动资产合计(万元),16956,15967,14123,11916,10492,7224,4531,3756,2907,
资产总计(万元),108017,97679,86554,66430,66053,52705,33018,25777,23023,
短期借款(万元),4490,4520,3480,1910,2070,700,1190,965,940,
向中央银行借款(万元),,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,
拆入资金(万元),,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,
应付票据(万元),3814,2315,,,,,,,,
应付账款(万元),21978,20199,,,,,5380,5690,4245,
预收账款(万元),8589,5208,5449,8181,5320,5688,1137,1115,461,
卖出回购金融资产款(万元),,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,
应付职工薪酬(万元),6452,4565,6634,4008,4762,3525,1679,1607,1064,
应交税费(万元),1180,2339,1839,1632,1227,1617,1418,966,697,
应付利息(万元),,,,,,,,,,
应付股利(万元),,,,,,,,,,
其他应交款(万元),,,,,,,,,,
应付保证金(万元),,,,,,,,,,
内部应付款(万元),,,,,,,,,,
其他应付款(万元),576,486,,1627,367,496,419,479,244,
预提费用(万元),,,,,,,,,,
预计流动负债(万元),,,,,,,,,,
应付分保账款(万元),,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,
国际票证结算(万元),,,,,,,,,,
国内票证结算(万元),,,,,,,,,,
递延收益(万元),,,,,,,,,,
应付短期债券(万元),,,,,,,,,,
一年内到期的非流动负债(万元),664,655,484,,,3847,,1205,1163,
其他流动负债(万元),,,,,,,,,3010,
流动负债合计(万元),47744,40288,39129,33173,30744,29145,11222,12027,11823,
长期借款(万元),,,,,,,,,,
应付债券(万元),,,,,,,3602,,,
长期应付款(万元),365,515,,1019,1194,,,,,
专项应付款(万元),,,,,,,,,,
预计非流动负债(万元),3904,3857,2560,807,619,782,911,542,616,
长期递延收益(万元),447,358,175,191,208,241,274,305,300,
递延所得税负债(万元),,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,
非流动负债合计(万元),4716,4731,3072,2018,2021,1023,4788,847,916,
负债合计(万元),52460,45019,42201,35191,32765,30168,16010,12874,12739,
实收资本(或股本)(万元),6480,6480,6480,6480,6480,6000,6000,1700,1700,
资本公积(万元),6985,6926,5124,5070,5016,3940,3940,274,274,
减:库存股(万元),,,,,,,,,,
专项储备(万元),,,,,,,,,,
盈余公积(万元),2943,2943,2927,1270,1270,479,457,824,824,
一般风险准备(万元),,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,
未分配利润(万元),38120,35102,28435,17484,19385,11431,6344,9860,7433,
拟分配现金股利(万元),,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,
归属于母公司股东权益合计(万元),54106,51084,42966,30305,32152,21849,16741,12659,10231,
少数股东权益(万元),1450,1577,1387,935,1136,688,267,244,54,
所有者权益(或股东权益)合计(万元),55556,52661,44353,31239,33288,22537,17008,12903,10285,
负债和所有者权益(或股东权益)总计(万元),108017,97679,86554,66430,66053,52705,33018,25777,23023,		
