报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),5720,7819,7093,13440,7124,9530,16489,18803,19555,10753,10313,4080,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),1523,1317,1000,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),1885,589,1837,1297,1737,1209,324,500,915,754,492,25,
应收账款(万元),66273,62212,51272,50037,46298,43095,38189,35475,34189,29141,21117,12397,
预付款项(万元),6949,6225,10218,3921,3394,3475,3229,1954,3258,3014,4995,519,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,
其他应收款(万元),,6332,,3802,2988,2949,2116,1988,2165,3042,2162,3410,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),1175,1054,1445,533,1088,2259,2315,2081,1859,628,47,98,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,
其他流动资产(万元),15730,14909,25403,37423,29849,7914,3569,8182,3039,5407,100,1600,
流动资产合计(万元),103552,100457,105926,110453,92478,70432,66231,68984,64981,52739,39227,22129,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,466,414,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),824,833,842,851,923,474,477,480,487,493,506,519,
固定资产原值(万元),,85815,,48319,,,,21766,,17096,19258,,
累计折旧(万元),,30881,,16249,,,,10956,,8975,8914,,
固定资产净值(万元),,54933,,32069,,,,10810,,8121,10343,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,54933,,32069,23178,10599,10825,10810,7738,8121,10343,9489,
在建工程(万元),,7708,,9635,16038,11365,10620,9921,5670,3738,549,56,
工程物资(万元),,,,,,,,,,,,,
固定资产清理(万元),,-25,,,,,5,0,0,,,,
生产性生物资产(万元),,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),26491,26664,22400,18777,18617,14075,14158,14241,10411,10537,5759,4421,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),32860,33135,14408,10757,12893,8544,8544,8544,7965,7965,2562,,
长期待摊费用(万元),1492,1458,207,169,170,136,135,70,,654,,29,
股权分置流通权(万元),,,,,,,,,,,,,
递延所得税资产(万元),1170,1281,1361,430,620,29,29,21,39,13,20,5,
其他非流动资产(万元),7728,5573,2775,2570,2175,3628,2469,660,1112,294,189,1027,
非流动资产合计(万元),133437,131560,99430,75260,74614,48849,47262,44746,33421,31816,20394,15961,
资产总计(万元),236989,232017,205355,185714,167092,119282,113493,113730,98402,84555,59620,38091,
短期借款(万元),13000,21000,15000,8000,,7000,7000,9000,9000,,,1318,
向中央银行借款(万元),,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,
应付票据(万元),23,,,,,512,754,359,641,,,,
应付账款(万元),30436,28653,,26051,,19955,15958,19025,13070,13182,10586,6031,
预收账款(万元),441,1041,766,449,430,339,271,324,603,131,101,125,
卖出回购金融资产款(万元),,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,
应付职工薪酬(万元),3797,2248,2369,2682,2149,1662,1239,1504,1005,1200,793,338,
应交税费(万元),2076,1384,2092,1431,1927,1772,2384,1916,1249,2122,859,1332,
应付利息(万元),44,46,,27,,4,8,15,12,,448,342,
应付股利(万元),0,79,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,
其他应付款(万元),,15016,,3155,2168,2633,1701,1707,1327,2025,1701,5657,
预提费用(万元),,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,
其他流动负债(万元),2073,1537,1386,1413,248,169,1224,783,762,,,,
流动负债合计(万元),63228,71004,54995,43209,26848,34046,30539,34632,27668,18659,14488,15142,
长期借款(万元),24698,17032,11432,12178,12178,2150,1940,1200,,,,,
应付债券(万元),,,,,,,,,,,,,
长期应付款(万元),,77,,95,104,,1981,2334,1540,1911,,,
专项应付款(万元),,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,
长期递延收益(万元),568,485,492,498,500,1124,1169,1188,56,68,,,
递延所得税负债(万元),6769,6810,5301,3194,3041,716,721,725,459,490,24,37,
其他非流动负债(万元),,,42,,,,,,,,,,
非流动负债合计(万元),32103,24405,17353,15965,15823,3990,5812,5446,2055,2469,24,37,
负债合计(万元),95331,95409,72348,59173,42670,38036,36351,40079,29723,21129,14513,15180,
实收资本(或股本)(万元),15247,15247,15247,15247,15247,11435,11435,11435,11435,11435,10000,722,
资本公积(万元),64816,64816,65241,64816,65700,30671,29710,29710,29710,28598,18607,415,
减:库存股(万元),,,,,,,,,,,,,
专项储备(万元),2855,2774,2514,2491,2583,2081,1892,1701,1257,924,588,292,
盈余公积(万元),791,791,807,791,730,579,630,562,499,390,47,361,
一般风险准备(万元),,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,
未分配利润(万元),54156,49165,45352,41718,38814,35132,31977,28732,24250,20535,15275,21143,
拟分配现金股利(万元),,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,
归属于母公司股东权益合计(万元),138026,132953,129322,125224,123074,79894,75786,72289,67307,62046,44667,22911,
少数股东权益(万元),3632,3656,3686,1317,1347,1352,1356,1362,1372,1380,441,,
所有者权益(或股东权益)合计(万元),141658,136608,133007,126540,124421,81246,77142,73651,68679,63426,45108,22911,
负债和所有者权益(或股东权益)总计(万元),236989,232017,205355,185714,167092,119282,113493,113730,98402,84555,59620,38091,		
