报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),13008,16824,13548,23624,13604,15806,18920,18356,6226,6730,5506,8282,7820,7229,7105,2783,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,
应收票据(万元),5298,3520,5535,4865,1232,1321,907,2683,2010,1299,1492,1618,1221,489,954,454,
应收账款(万元),30993,32126,22756,18824,33321,31341,24948,23342,24679,19731,18181,13544,18188,19171,12422,10677,
预付款项(万元),2575,545,782,348,668,611,300,227,804,410,485,891,145,263,232,638,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,7,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,
其他应收款(万元),,402,,705,335,436,523,375,244,229,153,140,165,108,3119,2548,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),8835,8594,6983,8348,11137,10055,7821,7556,7511,6609,4489,4279,4428,4574,3723,3314,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,
其他流动资产(万元),2109,2243,1663,2214,2803,1892,1552,6809,323,723,144,246,389,339,83,336,
流动资产合计(万元),63319,64255,51965,58927,63100,61464,54972,59355,41797,35732,30449,29000,32356,32174,27637,20751,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,
长期股权投资(万元),,0,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),131,137,126,148,174,159,166,170,169,127,131,149,144,7,26,30,
固定资产原值(万元),,29562,,28597,,16610,,15993,,14958,12715,9638,,8530,,,
累计折旧(万元),,6910,,6291,,5819,,5276,,5210,4757,4457,,3810,,,
固定资产净值(万元),,22652,,22305,,10791,,10717,,9748,7959,5181,,4720,,,
固定资产减值准备(万元),,7,,12,,12,,12,,12,12,22,,22,,,
固定资产(万元),,22645,,22293,19396,10778,10492,10704,9151,9736,7946,5159,4998,4698,3790,4091,
在建工程(万元),,131,,507,2446,8271,6844,6345,5739,4835,3725,3612,2768,1664,327,94,
工程物资(万元),,,,,,,,,,,,,,,,,
固定资产清理(万元),,1,,41,,,,18,0,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,
无形资产(万元),3510,3557,3579,3602,3559,3552,3541,3577,3506,3514,2788,3310,3372,3396,1702,1831,
开发支出(万元),,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,
长期待摊费用(万元),1644,1676,1579,1660,1702,1435,1455,1464,1425,1374,1445,498,530,527,262,273,
股权分置流通权(万元),,,,,,,,,,,,,,,,,
递延所得税资产(万元),384,370,310,274,379,365,356,356,347,305,288,283,369,381,357,266,
其他非流动资产(万元),1130,1649,1221,304,426,2437,2143,461,170,121,2,916,160,82,194,130,
非流动资产合计(万元),30882,30166,29622,28831,28081,26998,24997,23095,20507,20013,16326,13926,12341,10755,6657,6715,
资产总计(万元),94200,94421,81588,87758,91181,88462,79969,82450,62304,55744,46775,42926,44697,42929,34294,27466,
短期借款(万元),10499,11239,11199,9183,6183,11407,13083,11399,13083,9860,11079,11079,11632,11072,6439,5142,
向中央银行借款(万元),,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,
