报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),45281,32596,33865,44659,26344,21623,34595,65902,33008,51178,96000,95356,68025,75480,127029,33103,15501,27782,29716,21066,17205,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,-3,,,,,,,,,,,,,,,
应收票据(万元),32901,32820,35595,39440,15964,10167,,16635,7082,5447,5599,11495,3730,6581,7108,11025,3701,9369,3762,1871,380,
应收账款(万元),177863,155867,122292,99601,155817,133214,12744,78606,120563,101836,70759,55001,92342,80578,61160,47523,78375,36388,24399,12864,11813,
预付款项(万元),7043,3364,3508,2180,2978,3105,92588,3209,2238,1292,1731,1308,1605,1518,1649,1986,1582,1963,1734,2620,731,
应收保费(万元),,,,,,,4968,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),155,386,335,253,,70,,77,494,226,,58,236,75,,,,,,,,
应收股利(万元),,,,,,,196,,,,,,,,,,,,,,,
其他应收款(万元),,7801,,4124,4807,5066,4737,4258,4828,4443,3784,2984,2896,3202,2548,2330,2377,1609,1652,1187,967,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
存货(万元),99119,101936,97141,90352,92090,86507,75419,69995,70525,64185,62515,51994,49616,53925,49009,46503,46125,41832,34627,28700,20518,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),26970,20826,33699,34725,25027,20576,23207,30890,22080,32123,58,22055,22018,22019,,6,5,,,,,
流动资产合计(万元),395145,355596,333198,315335,323027,280328,248450,269573,260819,260730,240446,240251,240467,243378,248502,142475,147666,118943,95889,68308,51615,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,
