报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),44289,42731,32382,28720,23060,15659,13673,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,6,4,,,,29,
衍生金融资产(万元),,,,,,,,
应收票据(万元),717,694,2449,,1349,4182,1279,
应收账款(万元),21724,9402,10967,,27775,12383,8915,
预付款项(万元),10057,4344,1652,7161,2071,17473,2350,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,,,,9192,10153,6627,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),62254,49316,45141,64226,55548,49267,22765,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),4175,1419,30,6301,2165,1218,3294,
流动资产合计(万元),148458,112501,97016,136723,121160,110336,58932,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,850,850,850,850,850,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),,235321,233363,,,,,
累计折旧(万元),,65467,58111,,,,,
固定资产净值(万元),,169854,175252,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,169854,175252,182917,182317,189127,165685,
在建工程(万元),,18747,6271,4553,4558,5029,12991,
工程物资(万元),,10,,,,,54,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),18337,18480,18663,14450,14522,14000,13748,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),2872,2608,,,,,,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),199,104,115,232,267,206,113,
其他非流动资产(万元),3228,3334,3547,5257,5560,5553,1644,
非流动资产合计(万元),218301,213987,204698,208260,208075,214765,195085,
资产总计(万元),366759,326488,301713,344983,329234,325101,254017,
短期借款(万元),40407,46987,41150,66150,62900,63325,54770,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),74,,,339,,525,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),36420,31695,21000,,11359,16506,23610,
应付账款(万元),31168,16124,15645,,34004,28879,33838,
预收账款(万元),30665,17729,27814,38398,30589,38074,6546,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),1291,1142,1765,1160,1343,1550,792,
应交税费(万元),4787,3669,6771,5850,5529,3896,1966,
应付利息(万元),,68,55,,105,90,127,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,1101,103,,1127,132,121,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),8098,6036,8326,18028,20635,22300,17798,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),154210,124552,122630,175386,167590,175276,139567,
长期借款(万元),4470,4970,,,,3000,6000,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,13027,18231,31446,22777,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),10214,10469,7332,5733,5973,3741,4116,
递延所得税负债(万元),149,150,152,154,156,160,169,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),23301,20269,11124,18914,24360,38347,33061,
负债合计(万元),177511,144821,133754,194300,191950,213624,172629,
实收资本(或股本)(万元),17300,17300,17300,17300,17300,17300,17300,
资本公积(万元),20962,20962,20962,20962,20962,20962,20962,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),7206,7206,7206,4786,4786,3700,2700,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),117307,108119,98589,81735,71347,50847,28351,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),162818,153624,144066,124776,114391,92809,69313,
少数股东权益(万元),26429,28043,23894,25907,22893,18668,12075,
所有者权益(或股东权益)合计(万元),189248,181668,167960,150683,137284,111477,81388,
负债和所有者权益(或股东权益)总计(万元),366759,326488,301713,344983,329234,325101,254017,		
