报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),79425,73582,71450,62704,53154,69585,72833,87866,88232,85666,78907,87000,79806,73700,36928,27746,25497,21007,13263,5460,9461,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,437,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),,602,898,467,89,649,219,266,170,,175,171,236,264,551,310,25,50,173,20,253,
应收账款(万元),3947,5475,8025,5087,8270,7342,5763,9691,7582,7148,8345,8169,7238,6681,5751,8828,4823,5003,5319,4428,3217,
预付款项(万元),4727,5224,11249,6304,7168,3728,6190,3021,1737,3198,2576,1670,4643,7957,3090,1549,3062,7714,2249,1293,2949,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,575,,515,480,508,447,307,312,334,264,232,255,205,175,172,508,769,447,399,38,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
存货(万元),70115,69170,53105,60197,63024,53716,45011,38422,37505,40039,40627,36431,34813,32904,23013,27037,30986,30232,29700,36951,40653,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,500,,
其他流动资产(万元),2524,2062,4049,3411,3954,3885,1798,815,14517,10531,11254,361,1281,377,2,89,370,495,477,,,
流动资产合计(万元),161815,156690,149700,138685,136139,139413,132260,140388,150055,146916,142149,134034,128272,122088,69509,65731,65272,65269,51628,49050,56571,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,58314,,56264,,40131,,26151,,25533,,24413,,22910,,22353,,21343,,,,
累计折旧(万元),,18810,,17106,,15558,,14710,,13879,,13020,,12381,,11598,,10157,,,,
固定资产净值(万元),,39504,,39158,,24573,,11441,,11653,,11393,,10529,,10754,,11186,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,39504,,39158,39674,24573,11290,11441,11490,11653,11298,11393,11411,10529,10650,10754,10805,11186,11223,12506,12581,
在建工程(万元),,18681,,,9175,3498,11887,7064,4878,2507,1264,903,461,1404,1461,858,930,367,,,268,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),11299,11420,11473,11596,11372,11381,7605,7668,7547,7479,7513,7542,7586,5978,2153,5313,2169,2205,2264,2335,1872,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),376,50,,8,33,58,83,108,132,157,182,207,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),134,108,107,189,395,335,447,470,340,227,88,83,89,91,103,113,106,137,127,53,39,
