报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),33826,40326,43285,48512,20282,32066,27545,35866,23412,21617,29977,30079,31618,30258,82417,18785,17454,21521,14762,12250,12345,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),8146,6618,6960,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),1280,803,1035,812,953,918,1092,1656,1679,1260,1317,1984,1732,1119,1254,1640,1389,655,1445,,,
应收账款(万元),27403,29973,26258,32522,29106,29920,31966,33236,22317,23443,20368,25430,22327,25698,21001,24173,26286,25962,24998,25711,17716,
预付款项(万元),3087,3406,3288,3392,4177,3467,2870,2627,2103,2334,1629,1840,1428,1955,1481,1781,1793,1285,1493,1945,1259,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),40,70,87,136,126,93,74,56,238,19,6,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,2441,,2914,,3580,5125,4747,2033,2382,2945,1849,2198,2146,1845,1517,2161,1636,1953,2005,1465,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
存货(万元),47986,44598,45309,48282,49673,40358,40086,41780,43088,38098,37964,39914,44883,41090,42961,46908,43791,47219,47489,45050,39724,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),1737,1717,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),692,779,630,5298,30771,37827,36802,37302,37805,36797,31476,31375,38188,37311,2179,6188,7576,6058,7108,2209,1280,
流动资产合计(万元),126756,130732,129945,141869,138493,148229,145559,157272,132674,125951,125683,132471,142374,139578,153139,100992,100451,104337,99248,89170,73789,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,584,1050,1050,890,890,650,650,650,650,650,650,650,650,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,1732,1716,1720,1691,1658,1715,1715,1707,,,,,,,,,,,,
长期股权投资(万元),1504,1293,1473,1389,1595,1800,1701,1764,2111,2168,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),2734,2773,2563,2587,2746,2450,2472,2493,2515,929,643,650,439,442,,,,,,,,
固定资产原值(万元),,49432,,44777,,39900,,38520,,39410,,32643,,32358,,31751,31572,31086,19931,19222,,
累计折旧(万元),,11855,,10936,,10274,,9500,,9198,,8546,,7972,,7157,6546,5713,4471,3337,,
固定资产净值(万元),,37577,,33840,,29626,,29021,,30212,,24096,,24387,,24595,25026,25373,15460,15885,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,37577,,33840,33682,29626,29526,29021,29364,30212,30477,24096,23969,24387,24194,24595,25026,25373,15460,15885,12573,
在建工程(万元),,4592,,5587,4990,9052,8811,9169,11355,11207,10723,2384,2776,1206,1015,701,966,362,6935,652,98,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,20,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),8884,9213,9190,9565,9762,10030,10491,10560,6251,6325,6428,6557,5782,5801,1220,1202,1140,1035,1171,1344,1322,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,
商誉(万元),61715,61715,61715,61715,62210,62210,62210,62210,,,,,,,,,,,,,,
长期待摊费用(万元),4799,5044,5303,6048,4850,3507,3412,3978,2813,2215,2041,2232,1616,1785,2107,2485,498,583,717,834,982,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),4270,4460,4761,4302,2956,2114,1835,2365,2383,2033,1682,1606,2043,1677,2179,2109,2044,2200,1838,1484,538,
其他非流动资产(万元),283,331,2127,2064,1530,2194,1844,1846,2232,1723,2362,11571,4431,1575,7242,8082,5558,5567,5635,756,242,
非流动资产合计(万元),134617,129417,129567,129398,127091,125724,124850,126010,61389,59169,55006,49747,41705,37522,38608,39824,35231,35120,31756,20956,15755,
资产总计(万元),261373,260148,259512,271267,265584,273953,270409,283282,194063,185120,180688,182219,184079,177100,191746,140816,135682,139457,131004,110126,89543,
短期借款(万元),7800,7800,7800,,,,,,,,,,5000,5000,17789,23800,21400,23319,31744,21815,14600,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,
