报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),17842,25714,16427,19711,43838,12474,15057,9459,9859,6794,8088,7905,6898,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),3753,1931,1399,905,205,,,155,,109,,29,236,
应收账款(万元),11668,11421,8523,9786,7771,,,5739,,2277,,3896,3229,
预付款项(万元),1407,1405,1189,822,597,982,475,971,836,834,517,635,291,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,
其他应收款(万元),,1186,,499,855,1173,873,449,328,421,328,667,1032,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),14992,15195,15878,14689,15265,12121,9362,10391,9552,11388,11036,12327,9441,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),15124,12033,15133,15093,188,466,306,266,71,253,252,174,401,
流动资产合计(万元),65929,68885,59638,61503,68719,33531,33615,27430,25944,22077,22790,25633,21528,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,,5000,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),400,198,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,1850,1900,1951,,,,,
固定资产原值(万元),,36066,,35295,,33047,30757,,32690,,26079,,,
累计折旧(万元),,13709,,12533,,11504,10247,,8953,,7320,,,
固定资产净值(万元),,22357,,22762,,21543,20510,,23737,,18760,,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),,22357,,22762,21437,21543,20510,23401,23737,25003,18760,16448,17094,
在建工程(万元),,1594,,1005,1635,1325,847,617,1072,2007,5603,4049,825,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),8041,8054,8115,8167,8237,8305,8423,7953,8037,7916,8006,8037,8207,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,
长期待摊费用(万元),750,753,845,959,802,853,1086,1470,1591,610,413,1033,289,
股权分置流通权(万元),,,,,,,,,,,,,,
递延所得税资产(万元),405,394,407,406,368,352,334,382,398,523,455,540,599,
其他非流动资产(万元),1049,1419,1764,780,1400,817,303,797,396,123,410,88,,
非流动资产合计(万元),39928,39769,39706,39079,33879,33196,33353,36521,37182,36183,33648,30196,27013,
资产总计(万元),105857,108654,99344,100581,102598,66726,66969,63951,63126,58260,56438,55829,48542,
短期借款(万元),4100,11152,7537,737,4000,5440,4440,12309,8120,14059,12447,12529,11536,
向中央银行借款(万元),,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,
应付票据(万元),4086,2580,,3873,,,,1835,,128,,1980,867,
应付账款(万元),8976,8329,,9938,,,,7344,,7330,,5577,5918,
预收账款(万元),2722,3535,2192,2736,4049,2989,2085,2523,2333,3285,2525,3624,4039,
卖出回购金融资产款(万元),,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,
应付职工薪酬(万元),1600,1509,948,2946,1435,1543,2729,1290,2522,1104,1934,1401,1177,
应交税费(万元),1414,1433,486,1119,1563,1146,1571,1182,1744,573,1024,656,1044,
应付利息(万元),,,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,
其他应付款(万元),,4387,,4302,4735,4582,4203,5823,4764,4828,3470,2722,1750,
预提费用(万元),,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,2364,1050,
其他流动负债(万元),,,,,,,,,,,,,,
流动负债合计(万元),27413,32925,24497,25651,30456,26293,28544,32307,30936,31308,29310,30853,27381,
长期借款(万元),,,,,,2307,2702,3096,3448,3322,3700,3511,,
应付债券(万元),,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,
长期递延收益(万元),1696,1703,933,952,669,780,804,524,526,373,376,302,424,
递延所得税负债(万元),,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,
非流动负债合计(万元),1696,1703,933,952,669,3088,3506,3619,3974,3695,4076,3813,424,
负债合计(万元),29109,34627,25431,26603,31124,29381,32050,35927,34910,35003,33386,34666,27805,
实收资本(或股本)(万元),20517,20517,11398,11398,11398,8548,8548,8548,8548,8400,8400,8400,8400,
资本公积(万元),25090,25090,34212,34212,34212,5655,5655,5655,5655,4691,4691,4691,4691,
减:库存股(万元),,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,
盈余公积(万元),3354,3354,3354,3354,2628,2628,2628,1936,1936,1550,1550,1436,1244,
一般风险准备(万元),,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,
未分配利润(万元),27787,25066,24941,25004,23227,20507,18079,11876,12066,8606,8411,6637,6402,
拟分配现金股利(万元),,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),76748,74027,73905,73969,71465,37337,34910,28015,28205,23247,23051,21164,20737,
少数股东权益(万元),,0,8,10,9,9,9,9,11,10,,,,
所有者权益(或股东权益)合计(万元),76748,74027,73913,73978,71474,37346,34919,28024,28216,23256,23051,21164,20737,
负债和所有者权益(或股东权益)总计(万元),105857,108654,99344,100581,102598,66726,66969,63951,63126,58260,56438,55829,48542,		
