报告日期,2020-09-30,2020-06-30,2019-12-31,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),18728,19073,22288,18060,8585,11771,
结算备付金(万元),,,,,,,
拆出资金(万元),,,,,,,
交易性金融资产(万元),1001,1001,,,,,
衍生金融资产(万元),,,,,,,
应收票据(万元),5,100,541,,,,
应收账款(万元),2240,2422,2431,,,,
预付款项(万元),3467,2692,1180,1646,1595,1110,
应收保费(万元),,,,,,,
应收分保账款(万元),,,,,,,
应收分保合同准备金(万元),,,,,,,
应收利息(万元),,,,,,,
应收股利(万元),,,,,,,
其他应收款(万元),,206,,,,,
应收出口退税(万元),,,,,,,
应收补贴款(万元),,,,,,,
应收保证金(万元),,,,,,,
内部应收款(万元),,,,,,,
买入返售金融资产(万元),,,,,,,
存货(万元),1841,1746,2025,1835,2428,1496,
待摊费用(万元),,,,,,,
待处理流动资产损益(万元),,,,,,,
一年内到期的非流动资产(万元),,,,,,,
其他流动资产(万元),776,1035,1404,1179,893,889,
流动资产合计(万元),30721,28275,30047,26181,16878,20641,
发放贷款及垫款(万元),,,,,,,
可供出售金融资产(万元),,,,6679,6679,6769,
持有至到期投资(万元),,,,,,,
长期应收款(万元),,,,,,,
长期股权投资(万元),1754,1754,1571,1239,1174,943,
其他长期投资(万元),,,,,,,
投资性房地产(万元),,,,,,,
固定资产原值(万元),,67900,,,,,
累计折旧(万元),,26553,,,,,
固定资产净值(万元),,41347,,,,,
固定资产减值准备(万元),,239,,,,,
固定资产(万元),,41108,,,,,
在建工程(万元),,12100,,,,,
工程物资(万元),,231,,,,,
固定资产清理(万元),,,,,,,
生产性生物资产(万元),,,,,,,
公益性生物资产(万元),,,,,,,
油气资产(万元),,,,,,,
无形资产(万元),9135,8011,7860,5213,4810,4790,
开发支出(万元),,,,,,,
商誉(万元),,,,,257,257,
长期待摊费用(万元),10,5,6,8,,,
股权分置流通权(万元),,,,,,,
递延所得税资产(万元),190,196,191,217,184,181,
其他非流动资产(万元),3443,1375,1011,1483,905,,
非流动资产合计(万元),78958,72041,69034,57011,54949,54366,
资产总计(万元),109679,100316,99081,83192,71827,75007,
短期借款(万元),8000,2303,6200,5000,5000,2300,
向中央银行借款(万元),,,,,,,
吸收存款及同业存放(万元),,,,,,,
拆入资金(万元),,,,,,,
交易性金融负债(万元),,,,,,,
衍生金融负债(万元),,,,,,,
应付票据(万元),,,,,,,
应付账款(万元),11429,10282,8686,,,,
预收账款(万元),,,5041,5216,4073,3105,
卖出回购金融资产款(万元),,,,,,,
应付手续费及佣金(万元),,,,,,,
应付职工薪酬(万元),486,587,1161,1408,897,480,
应交税费(万元),254,943,1028,2018,5966,2285,
应付利息(万元),,,14,,,,
应付股利(万元),,,,,,,
其他应交款(万元),,,,,,,
应付保证金(万元),,,,,,,
内部应付款(万元),,,,,,,
其他应付款(万元),,686,643,,,,
预提费用(万元),,,,,,,
预计流动负债(万元),,,,,,,
应付分保账款(万元),,,,,,,
保险合同准备金(万元),,,,,,,
代理买卖证券款(万元),,,,,,,
代理承销证券款(万元),,,,,,,
国际票证结算(万元),,,,,,,
国内票证结算(万元),,,,,,,
递延收益(万元),,,,,,,
应付短期债券(万元),,,,,,,
一年内到期的非流动负债(万元),,,,,,1000,
其他流动负债(万元),316,315,,,,,
流动负债合计(万元),24907,18712,22772,20258,21643,15968,
长期借款(万元),5000,5007,6243,,,,
应付债券(万元),,,,,,,
长期应付款(万元),,,,,,,
专项应付款(万元),,,,,,,
预计非流动负债(万元),,,,,,,
长期递延收益(万元),5000,5000,4500,,,,
递延所得税负债(万元),85,108,95,29,34,39,
其他非流动负债(万元),458,486,543,,,,
非流动负债合计(万元),10543,10601,11380,29,34,39,
负债合计(万元),35450,29313,34152,20288,21677,16007,
实收资本(或股本)(万元),12000,12000,12000,12000,9000,5882,
资本公积(万元),13710,13710,13710,13818,16818,4819,
减:库存股(万元),,,,,,,
专项储备(万元),2835,2757,2457,2367,2400,2593,
盈余公积(万元),2964,2964,2964,2208,,2055,
一般风险准备(万元),,,,,,,
未确定的投资损失(万元),,,,,,,
未分配利润(万元),36948,33848,28396,28219,17662,37903,
拟分配现金股利(万元),,,,,,,
外币报表折算差额(万元),,,,,,,
归属于母公司股东权益合计(万元),68946,65766,59928,58612,45879,53251,
少数股东权益(万元),5283,5237,5001,4293,4270,5749,
所有者权益(或股东权益)合计(万元),74229,71003,64929,62905,50150,59000,
负债和所有者权益(或股东权益)总计(万元),109679,100316,99081,83192,71827,75007,		
