报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),19082,18415,21820,27015,16801,17872,14158,25224,20133,24291,7231,8993,4377,1518,6084,4717,2447,
结算备付金(万元),,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,
应收票据(万元),3541,4708,5334,4131,3848,4528,3867,4677,3391,3651,2518,2208,132,160,499,1096,616,
应收账款(万元),36804,39008,34127,35277,26236,27056,23539,26165,20436,20221,21642,23058,20702,16249,17126,10723,7236,
预付款项(万元),8053,3986,1975,4347,947,646,541,213,470,332,287,379,599,265,159,85,72,
应收保费(万元),,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,
其他应收款(万元),,1119,,931,1722,1375,1475,590,955,1034,1059,702,535,899,457,467,764,
应收出口退税(万元),,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,
存货(万元),13857,15966,11379,12703,20361,15751,18856,18258,19086,13960,11307,10874,9399,10311,8704,6074,3481,
待摊费用(万元),,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,41,50,21,30,4,,,,,
其他流动资产(万元),1216,258,1519,,3000,60,6163,,2204,293,,,,,,,,
流动资产合计(万元),83747,83459,77437,84404,72915,67287,68599,75126,66716,63832,44065,46244,35747,29402,33029,23162,14616,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,
固定资产原值(万元),,7457,,7296,,6567,,5736,,5197,,4970,4839,,,,,
累计折旧(万元),,5169,,4816,,4556,,4318,,3957,,3569,2556,,,,,
固定资产净值(万元),,2288,,2480,,2011,,1417,,1241,,1401,2283,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,
固定资产(万元),,2288,,2480,2227,2011,1555,1417,1370,1241,1356,1401,2283,2642,2974,2438,917,
在建工程(万元),,184,,,56,56,56,56,34,34,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,
