报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),387871,357439,262547,231324,151803,197119,135120,243874,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),511,486,807,616,1082,2141,3323,4436,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),,,128,240,,,,,
应收账款(万元),67730,62017,29377,35875,49122,31008,15483,19156,
预付款项(万元),4920,3457,3562,2930,3679,3910,5161,40134,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),5,29,20,126,196,54,257,1293,
应收股利(万元),,,,,,,,,
其他应收款(万元),,2538,7707,15445,101630,492,3197,5860,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),1753,1381,980,1212,488,514,77,84,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),1936,3794,6455,4630,157,571,100000,30000,
流动资产合计(万元),465827,431142,311582,292397,308157,235810,262619,344836,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,19843,10503,8033,8010,14756,83922,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),44895,44347,45009,41690,42473,27957,12581,12509,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),36044,36335,36896,38007,38577,39160,300,125,
固定资产原值(万元),,1936779,1906380,,,,,,
累计折旧(万元),,915171,931859,,,,,,
固定资产净值(万元),,1021608,974521,,,,,,
固定资产减值准备(万元),,25637,25579,,,,,,
固定资产(万元),,995971,948942,794352,833279,898054,958964,900984,
在建工程(万元),,91815,174374,264478,200796,237684,154661,172044,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),140830,141567,142989,135021,137277,139525,17578,17488,
开发支出(万元),5104,5104,5104,5091,4509,4291,2687,1905,
商誉(万元),,,,,,,,,
长期待摊费用(万元),2102,2126,2174,2270,2318,2366,2105,,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),2582,2540,2394,2521,2287,2088,5817,8095,
其他非流动资产(万元),30799,29234,25527,88022,81354,70713,38990,9228,
非流动资产合计(万元),1450187,1379039,1403251,1381955,1350904,1429848,1208439,1206301,
资产总计(万元),1916014,1810180,1714833,1674352,1659061,1665658,1471058,1551137,
短期借款(万元),,,,,,,,,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),,11700,11700,,,,5700,,
应付账款(万元),117480,39689,43494,40921,51394,66669,20351,73378,
预收账款(万元),148584,138875,144543,159201,165770,174148,189890,196156,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),5751,4677,5914,4292,2705,4436,7193,7840,
应交税费(万元),5830,5659,3269,8544,11816,9353,5624,6545,
应付利息(万元),,,28,,,,4,104,
应付股利(万元),1956,184,47,16182,24825,,40,,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,14374,14965,15094,17248,15522,10314,9089,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),,,22898,9326,7739,6977,14287,12292,
其他流动负债(万元),,,,,,,,,
流动负债合计(万元),295401,215158,246857,253560,281497,277105,253402,305403,
长期借款(万元),,,14379,67031,47119,45105,45594,176739,
应付债券(万元),,,,,,,,,
长期应付款(万元),,,,,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),,,,,,,,,
长期递延收益(万元),31723,32175,32909,29688,27708,28532,25651,26988,
递延所得税负债(万元),69860,66453,66760,57710,53819,53826,50015,42194,
其他非流动负债(万元),,,,,,,,,
非流动负债合计(万元),101583,98629,114049,154429,128646,127462,121259,245922,
负债合计(万元),396984,313787,360906,407989,410143,404567,374662,551325,
实收资本(或股本)(万元),400000,400000,360000,360000,360000,624546,624546,624546,
资本公积(万元),587471,587471,521735,521735,521686,133008,56692,56692,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),7235,7235,5628,2625,86,16674,13555,9201,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),105086,95313,76076,37151,13575,133174,102801,63861,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),1120331,1105484,976382,928522,908223,925221,809339,757638,
少数股东权益(万元),398699,390910,377545,337842,340695,335870,287057,242174,
所有者权益(或股东权益)合计(万元),1519030,1496393,1353927,1266363,1248918,1261091,1096396,999812,
负债和所有者权益(或股东权益)总计(万元),1916014,1810180,1714833,1674352,1659061,1665658,1471058,1551137,		
