报告日期,2020-09-30,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),47769,21041,31089,42295,32379,17997,16978,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),12252,9895,7054,6899,,,,
应收账款(万元),52918,45424,45397,46331,,,,
预付款项(万元),1072,482,444,1244,959,641,1355,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,,,,,,,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),27756,29731,31235,30319,31314,21963,22254,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),182,1077,705,624,1346,245,15429,
流动资产合计(万元),161723,125611,134111,145119,129020,106956,105617,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),,,133713,,,,,
累计折旧(万元),,,53854,,,,,
固定资产净值(万元),,,79859,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,,79859,,,,,
在建工程(万元),,,,,,,,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),7984,7878,8006,8062,8065,8254,8449,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),1263,1101,1293,1213,1075,767,515,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),876,775,760,663,621,540,442,
其他非流动资产(万元),1901,1847,1874,1553,3150,7304,1445,
非流动资产合计(万元),91171,90970,91792,88284,86194,72797,65161,
资产总计(万元),252894,216581,225903,233403,215214,179752,170778,
短期借款(万元),7309,7328,22631,26650,20659,12800,25000,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,21,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),14355,18524,18974,27429,,,,
应付账款(万元),34161,35882,39523,42454,,,,
预收账款(万元),,5,144,147,171,43,49,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),3962,6010,5614,6385,5402,4906,6019,
应交税费(万元),1143,604,210,262,231,1617,3280,
应付利息(万元),,,,,,,,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,,743,,,,,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,1980,,6000,1226,
其他流动负债(万元),34,,,,,,,
流动负债合计(万元),63658,70000,87839,106705,93634,80975,80792,
长期借款(万元),1000,60,,,,,6000,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),16818,17301,18081,19115,16901,12168,9403,
递延所得税负债(万元),1220,1099,880,672,502,328,196,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),21050,20478,20987,19839,19445,14476,17579,
负债合计(万元),84708,90478,108826,126544,113079,95451,98371,
实收资本(或股本)(万元),42500,37180,37180,37180,37180,36300,36300,
资本公积(万元),79975,48844,48844,48844,48844,43710,3500,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),4778,4778,4778,2935,2935,1555,2501,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),40508,34876,25798,17579,12724,2521,23979,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),167765,125681,116604,106541,101686,84085,66280,
少数股东权益(万元),422,422,473,319,449,216,6127,
所有者权益(或股东权益)合计(万元),168187,126103,117077,106859,102135,84301,72408,
负债和所有者权益(或股东权益)总计(万元),252894,216581,225903,233403,215214,179752,170778,		
