报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),15907,21223,25247,6816,3213,4298,4307,3626,6886,6868,9573,9497,4902,10796,17168,1937,4468,3533,2948,4549,6313,4578,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),0,0,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),0,0,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),4494,4829,8641,7108,9558,9809,13059,17735,11024,10035,8273,12746,10064,4902,3037,4088,2739,1969,1798,1858,1805,482,
应收账款(万元),34970,34482,31319,31314,27565,28278,26870,26740,24519,26931,22386,20769,24766,21718,19033,16926,12767,12725,11351,9645,9578,3973,
预付款项(万元),1177,529,386,329,493,1192,1102,157,204,313,219,139,23,1983,447,97,66,174,343,204,355,1280,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,3356,,1388,1115,449,398,424,317,293,303,332,473,325,374,342,134,233,221,156,171,45,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,
存货(万元),44331,43535,40529,36603,36964,32267,27489,24788,20574,19511,19708,17194,15273,16392,14968,14525,12221,10968,10544,10001,8072,5038,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),0,0,,,,,,,1,1,1,1,,,,,,,,,,,
其他流动资产(万元),390,1013,1077,1136,1309,778,300,126,96,26,43,52,96,56,59,52,16,13,4,6,17,3,
流动资产合计(万元),104481,108966,110031,84694,80217,77071,73525,73595,63621,63978,60507,60730,55597,56172,55085,37968,32410,29615,27208,26418,26310,15398,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,100,100,100,100,100,100,100,100,,,,,,,,,,,,
