报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),50819,49480,41641,38621,42716,39970,46145,66573,62491,68186,75436,19210,14189,11018,7275,4381,1391,
结算备付金(万元),,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,
应收票据(万元),4314,3813,5015,2685,1868,2015,3617,2785,2833,1092,2228,3296,1475,1276,3462,90,1173,
应收账款(万元),13886,11318,7671,12400,10655,11118,7696,11538,8187,8426,4896,4440,4083,3510,806,810,964,
预付款项(万元),276,553,132,43,262,357,293,297,569,216,610,288,616,124,182,839,121,
应收保费(万元),,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,
其他应收款(万元),,130,,451,143,204,154,100,327,114,408,551,663,577,251,145,70,
应收出口退税(万元),,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,
存货(万元),11464,5702,5637,5390,5661,4103,4332,4084,5989,6146,5325,3924,3470,2714,2060,1047,252,
待摊费用(万元),,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,
其他流动资产(万元),12249,17014,22712,33137,29195,35047,26434,10232,5110,6200,109,109,57,50,167,645,,
流动资产合计(万元),93145,88010,83143,92727,90500,92814,88670,95609,85506,90381,89013,31819,24554,19271,14203,7957,3972,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,3200,3200,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,
固定资产原值(万元),,22313,,21847,,19976,,3630,,2705,,2307,,1608,1013,,,
累计折旧(万元),,4134,,3153,,2353,,1767,,1374,,1040,,768,538,,,
固定资产净值(万元),,18179,,18693,,17624,,1863,,1331,,1267,,840,475,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,
固定资产(万元),,18179,,18693,18450,17624,17648,1863,1778,1331,1336,1267,1052,840,475,244,405,
在建工程(万元),,,,,,,,9175,8932,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,
无形资产(万元),1891,2774,2943,3231,1720,871,1005,1178,976,449,515,332,382,502,272,5,13,
开发支出(万元),321,,,,428,853,252,,,,,,,,,,,
商誉(万元),,,724,724,874,874,,,,,,,,,,,,
长期待摊费用(万元),381,395,416,428,408,406,416,,173,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,
递延所得税资产(万元),,,,,,,,,,,,,,22,150,99,47,
其他非流动资产(万元),,,,,,,,,,,,,,,,,,
非流动资产合计(万元),28876,29548,26039,26277,25080,20628,19320,12216,11858,1779,1851,1599,1434,1364,897,348,465,
资产总计(万元),122021,117558,109182,119004,115581,113441,107991,107825,97364,92160,90864,33418,25988,20634,15099,8304,4437,
短期借款(万元),,,,,,,,,,,,,,,,,259,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,,
应付账款(万元),3235,3364,,3121,,2189,1406,1466,1895,708,776,801,845,1106,690,254,199,
预收账款(万元),2318,2300,1004,933,311,388,335,178,447,50,372,1727,1630,1585,1675,529,62,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),2204,1650,1434,2843,1954,1330,806,1998,2148,819,649,1750,761,951,792,551,159,
应交税费(万元),151,34,497,545,119,446,432,691,548,476,1115,835,519,500,523,424,108,
应付利息(万元),,,,,,,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,
其他应付款(万元),,208,,7318,7774,7834,7886,7935,22,19,128,38,15,72,74,6,,
预提费用(万元),,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,
流动负债合计(万元),8019,7556,5562,14760,12406,12187,10864,12268,5059,2071,3041,5150,3770,4214,3754,1765,787,
长期借款(万元),,,,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,
长期递延收益(万元),845,845,620,570,858,787,787,787,777,977,757,757,694,688,628,350,494,
递延所得税负债(万元),203,200,227,186,141,124,39,41,9,8,5,10,18,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,
非流动负债合计(万元),1048,1045,847,756,999,911,826,828,786,985,762,767,712,688,628,350,494,
负债合计(万元),9067,8601,6409,15516,13405,13097,11690,13096,5846,3057,3803,5917,4482,4902,4382,2115,1281,
实收资本(或股本)(万元),4444,4444,4532,4532,4532,4532,4532,4532,4444,4444,4444,3333,3333,3333,3333,374,374,
资本公积(万元),66418,66243,73763,71322,70137,69334,67321,67146,58808,58632,58456,2691,2339,1988,1285,462,311,
减:库存股(万元),,,7783,7783,7783,7783,7783,7783,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,
盈余公积(万元),2266,2266,2266,2266,2266,2266,2266,2266,1667,1667,1667,1667,738,738,333,187,187,
一般风险准备(万元),,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,
未分配利润(万元),39933,35937,30161,32632,32033,31026,29769,28245,26320,24018,22089,19358,14592,9103,5772,5175,2283,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),113061,108890,102938,103112,101331,99458,96110,94472,91346,88889,86804,27203,21106,15236,10717,6190,3156,
少数股东权益(万元),-107,67,-165,376,845,885,191,256,173,214,257,298,400,496,,,,
所有者权益(或股东权益)合计(万元),112954,108957,102773,103488,102176,100344,96301,94728,91518,89103,87061,27501,21506,15733,10717,6190,3156,
负债和所有者权益(或股东权益)总计(万元),122021,117558,109182,119004,115581,113441,107991,107825,97364,92160,90864,33418,25988,20634,15099,8304,4437,		
