报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
货币资金(万元),12078,13576,24619,19529,11436,5791,12657,1760,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),,,,,,,,,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),,,,,,,,,
应收账款(万元),15953,12505,,6487,4215,4847,2250,1659,
预付款项(万元),111,98,103,1,67,62,6,22,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,,,2720,2324,1949,1435,1139,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),53,30,41,51,27,31,23,54,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),300,257,184,,1998,597,3025,10250,
流动资产合计(万元),34965,31776,35772,28788,20066,13276,19397,14884,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,3291,3341,3320,3300,2900,2300,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),25,28,37,67,234,204,154,46,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),,,,,,,,,
固定资产原值(万元),,11976,,,,,,,
累计折旧(万元),,2441,,,,,,,
固定资产净值(万元),,9535,,,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),,9535,9466,1251,1142,976,955,1023,
在建工程(万元),,1868,990,96,11,,,,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),248,146,144,195,246,4,1,6,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,,,,,
长期待摊费用(万元),,,,,16,30,45,73,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),202,185,135,126,84,74,54,36,
其他非流动资产(万元),,,,4608,,74,,339,
非流动资产合计(万元),15309,15054,14064,9685,5053,4662,4108,3823,
资产总计(万元),50274,46830,49836,38473,25119,17939,23505,18707,
短期借款(万元),,,,,0,,,,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),,,,,,,,,
应付账款(万元),1190,2241,,1260,1224,430,530,447,
预收账款(万元),1652,1417,2099,1684,1912,1521,1469,1796,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),8810,7182,9540,7750,6698,3886,5685,5123,
应交税费(万元),1024,945,887,1036,1304,1719,982,519,
应付利息(万元),,,,,,,,,
应付股利(万元),,,,,,492,,327,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,5318,,4740,3621,3686,3656,2933,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),622,622,622,,,,,,
其他流动负债(万元),,,,,,,,,
流动负债合计(万元),18285,17724,19794,16469,14759,11735,12323,11145,
长期借款(万元),2642,2798,3108,,0,,,,
应付债券(万元),,,,,,,,,
长期应付款(万元),,,,,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),,,,,,,,,
长期递延收益(万元),,,,,,,,,
递延所得税负债(万元),,,,,,,,,
其他非流动负债(万元),,,,,,,,,
非流动负债合计(万元),2642,2798,3108,0,0,,,,
负债合计(万元),20927,20522,22903,16469,14759,11735,12323,11145,
实收资本(或股本)(万元),5373,5373,5373,5373,5000,500,500,500,
资本公积(万元),8070,8070,8070,8106,1480,846,,,
减:库存股(万元),,,,,,,57,57,
专项储备(万元),,,,,,,,,
盈余公积(万元),2095,2095,2095,1180,449,250,250,250,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),13668,10652,11274,7381,3510,4709,10620,6711,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),29206,26190,26813,22041,10439,6305,11313,7405,
少数股东权益(万元),140,118,121,-37,-79,-101,-131,158,
所有者权益(或股东权益)合计(万元),29346,26308,26933,22004,10360,6204,11182,7562,
负债和所有者权益(或股东权益)总计(万元),50274,46830,49836,38473,25119,17939,23505,18707,		
