报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),19612,36728,37479,43929,26532,44958,49913,52772,8562,8572,7804,9414,11526,943,2720,2741,1084,
结算备付金(万元),,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,,,,,
应收账款(万元),8176,5593,5589,6115,5658,5760,6138,6215,3394,3281,3434,2278,3047,2592,2305,1383,1133,
预付款项(万元),1717,5167,3237,418,966,288,351,184,152,126,47,61,85,2090,115,140,224,
应收保费(万元),,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,
应收股利(万元),88,,185,185,185,185,96,96,,,,,,,,,,
其他应收款(万元),,82,,82,,90,89,118,111,105,34,41,15,194,116,14810,10532,
应收出口退税(万元),,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,
存货(万元),8445,6265,5962,5357,5714,4783,4304,4285,5083,3736,2595,2242,2031,1623,1613,918,824,
待摊费用(万元),,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,
其他流动资产(万元),1143,965,1325,1546,26069,6007,1585,1296,1503,1254,2209,971,469,808,964,830,510,
流动资产合计(万元),39524,54800,53870,57631,65227,62070,62476,64966,18804,17074,16122,15007,17172,8250,7834,20821,14307,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,
长期股权投资(万元),,30590,30082,25580,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,
固定资产原值(万元),,48699,,47516,,45213,,44929,40883,39381,36494,,31169,,27979,,25193,
累计折旧(万元),,19442,,18119,,16902,,15708,15029,14510,13582,,11784,,10688,,7858,
固定资产净值(万元),,29257,,29397,,28312,,29221,25854,24871,22912,,19384,,17291,,17335,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,
固定资产(万元),,29257,,29397,28199,28312,28737,29221,25854,24871,22912,19359,19384,16731,17291,17734,17335,
在建工程(万元),,5879,,4138,2594,2204,2153,2044,2669,2602,3684,1404,625,798,850,371,338,
工程物资(万元),,33,,212,,273,201,198,295,466,592,595,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,
无形资产(万元),13280,10483,10576,10608,10702,10795,10886,10982,11077,11172,10945,9203,9315,8263,8140,5468,5357,
开发支出(万元),,,,,,,,,,,,,,,,,,
商誉(万元),10217,,,,,,,,,,,,,,,,,
长期待摊费用(万元),50,22,28,35,41,48,55,62,69,76,90,89,60,66,56,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,
递延所得税资产(万元),2634,1712,1595,1860,1490,1434,1403,1604,1204,1141,1264,974,1003,966,1010,916,752,
其他非流动资产(万元),2589,2567,2935,3401,2819,1912,1387,1760,992,855,326,1568,458,531,408,381,456,
非流动资产合计(万元),115389,85263,84479,76230,46846,45979,45822,46871,43159,42184,40813,34192,31844,28354,28754,25870,25237,
资产总计(万元),154913,140063,138349,133861,112073,108049,108299,111837,61963,59258,56936,49199,49017,36604,36589,46692,39544,
短期借款(万元),,,,,,,,,,,,,1000,3000,370,2000,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,,
应付账款(万元),4796,2144,,3183,,1381,1310,3375,3603,2724,2502,1351,1017,323,1192,959,622,
预收账款(万元),14508,9461,8889,10583,9810,8274,7763,8768,6743,6596,8604,7584,8275,7472,8208,7646,6423,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),510,278,286,988,263,250,216,1471,228,251,805,168,675,141,472,213,,
应交税费(万元),1248,320,551,683,75,329,290,983,179,117,242,603,730,470,777,1160,1707,
应付利息(万元),30,23,28,24,,,,,,,,0,6,12,10,3754,2762,
应付股利(万元),,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,
其他应付款(万元),,279,,200,240,235,284,951,1728,1392,420,457,2633,1642,4321,1065,1684,
预提费用(万元),,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),2600,2600,2600,2600,,,,,,,,200,2100,3200,2600,2500,2000,
其他流动负债(万元),,,,,,,,,,,,,,,,,,
流动负债合计(万元),24387,15106,14045,18261,12579,10468,9864,15548,12480,11080,12573,10363,16436,16260,17951,19296,15198,
长期借款(万元),18700,13700,15000,12712,,,,,,,,,,200,2100,9365,12275,
应付债券(万元),,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,11,,,
长期递延收益(万元),674,285,289,293,297,301,305,309,193,195,,,,,,,,
递延所得税负债(万元),2401,558,525,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,
非流动负债合计(万元),21775,14543,15814,13005,297,301,305,309,193,195,0,0,0,200,2111,9365,12275,
负债合计(万元),46162,29649,29859,31267,12877,10769,10169,15858,12673,11275,12573,10363,16436,16460,20062,28661,27473,
实收资本(或股本)(万元),14150,14150,14150,14150,14150,14150,14150,14150,10600,10600,10600,10600,10600,9300,9300,9300,9300,
资本公积(万元),48216,48551,48551,48551,48551,48551,48551,48551,8874,8874,8874,8892,8874,3719,3702,2055,2055,
减:库存股(万元),,,,,,,,,,,,,,,,,,
专项储备(万元),131,145,,155,170,141,105,57,175,124,193,334,262,655,541,399,446,
盈余公积(万元),3023,3023,3023,3023,2467,2467,2467,2467,1959,1959,1959,1053,1054,241,242,628,27,
一般风险准备(万元),,,133,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,
未分配利润(万元),39891,41383,39658,36715,33858,31971,32857,30754,27682,26424,22736,17957,11790,6228,2741,5649,243,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),108751,110414,108490,102594,99196,97280,98130,95979,49291,47982,44363,38836,32581,20144,16527,18031,12071,
少数股东权益(万元),,,,,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),108751,110414,108490,102594,99196,97280,98130,95979,49291,47982,44363,38836,32581,20144,16527,18031,12071,
负债和所有者权益(或股东权益)总计(万元),154913,140063,138349,133861,112073,108049,108299,111837,61963,59258,56936,49199,49017,36604,36589,46692,39544,		
