报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2011-09-30,
货币资金(万元),664865,920102,759685,735741,701220,857404,669667,787291,733875,816380,851977,745731,788778,401788,375605,265533,213266,156468,196046,169405,197435,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),13723,15490,10287,12352,1854,239,1359,1486,,150,387,327,,100,740,1079,722,,,,,
应收账款(万元),131752,169489,157982,147354,192936,150896,157888,148895,117020,133825,105224,122092,93664,151475,136667,136233,108514,114159,74250,18084,18827,
预付款项(万元),29948,31798,36297,29620,24084,34104,36558,29698,34450,30566,27125,21414,25623,21518,16419,15088,9524,16697,17332,34806,87389,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),109,109,67,67,67,,,,42,13731,13667,,,,,,61,3,,292,,
其他应收款(万元),,23834,,17485,,24108,23209,12928,30101,30591,31133,15897,30619,31283,21783,20698,20554,15726,16372,15392,60258,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
存货(万元),181410,172791,179264,179529,176869,121432,136205,124323,129651,131351,145409,121860,101823,104396,126220,90745,83280,60878,38155,19426,28723,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,199,,,,,,,
其他流动资产(万元),179271,28865,174708,39465,216492,61317,256092,7662,254849,8506,2014,7399,3423,3431,21824,3549,1262,474,,303,,
流动资产合计(万元),1223116,1362479,1341294,1161613,1340494,1249500,1280979,1112283,1299987,1165101,1176936,1034720,1043929,713990,699457,532925,437183,364406,342968,257708,400747,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,20069,21772,22464,25986,26890,46391,31185,34334,35729,38738,30616,34174,5020,5000,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,
