报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),2873,7154,10286,4959,7577,7529,12031,8757,9853,6151,1916,2471,3003,1222,3717,1116,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,
应收票据(万元),527,1225,767,947,88,245,1123,1797,217,919,144,404,196,371,936,366,
应收账款(万元),11619,12396,11846,11016,11176,13143,9740,9972,9719,9322,9183,9283,6854,6361,6417,4401,
预付款项(万元),1268,1210,1257,2816,3404,2538,1206,519,2880,2123,1214,741,403,148,238,268,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),,,,,1,1,6,,158,95,0,,,,,,
应收股利(万元),,,,,,,,,,0,0,,,,,,
其他应收款(万元),,171,,143,,106,96,50,70,65,106,83,30,16,3,23,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),36793,36236,35787,33493,29508,25087,22736,22159,20585,19149,17363,16399,13112,11732,9031,8968,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,0,0,,,,,,
其他流动资产(万元),2593,2196,2196,11390,12027,14810,15579,20446,20226,25699,327,280,110,25,9,0,
流动资产合计(万元),55826,60588,62308,64765,63959,63460,62517,63699,63708,63524,30254,29660,23709,19876,20352,15143,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,,,
持有至到期投资(万元),,,,,,,,,,0,0,,,,,,
长期应收款(万元),,,,,,,,,,0,0,,,,,,
长期股权投资(万元),,,,,,,,,,0,0,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,0,0,,,,,,
固定资产原值(万元),,60905,,55128,,49260,,48807,,47561,,44025,15236,14343,,,
累计折旧(万元),,14037,,12204,,10707,,9966,,8670,,7361,5717,4423,,,
固定资产净值(万元),,46868,,42924,,38553,,38842,,38890,,36665,9519,9919,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,
固定资产(万元),,46868,,42924,41659,38553,38402,38842,39322,38890,36202,36665,9519,9919,6625,5871,
在建工程(万元),,22544,,15565,9756,7835,5580,3367,2615,2165,3991,3742,9617,164,1701,57,
工程物资(万元),,374,,145,,523,374,302,201,336,217,279,76,71,136,,
固定资产清理(万元),,,,,,,,,,0,0,,,,,,
生产性生物资产(万元),,,,,,,,,,0,0,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,0,0,,,,,,
无形资产(万元),21042,8563,8611,8659,8707,8755,8802,6310,6345,6381,6416,6451,6580,6719,650,667,
开发支出(万元),,,,,,,,,,0,0,,,,,,
商誉(万元),,,,,,,,,,0,0,,,,,,
长期待摊费用(万元),1281,1354,1165,979,1037,1085,181,196,212,227,49,55,84,73,138,137,
股权分置流通权(万元),,,,,,,,,,,,,,,,,
递延所得税资产(万元),280,270,288,361,292,300,252,285,264,210,234,239,109,80,64,43,
其他非流动资产(万元),5439,15857,7772,5626,6902,4907,1828,3819,1447,949,1231,622,2180,706,6336,1260,
非流动资产合计(万元),108815,104538,93109,81299,75392,68997,62460,60161,57446,56197,55380,55094,35206,24772,15651,8037,
资产总计(万元),164640,165126,155418,146064,139351,132457,124977,123861,121154,119721,85634,84754,58916,44648,36003,23180,
短期借款(万元),9000,12000,4000,3000,,,,,140,462,11524,10022,7230,7737,8000,4960,
向中央银行借款(万元),,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,
