报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),121073,123456,133757,139029,28462,32880,27789,35448,32504,29970,33302,38904,31891,36821,45605,10472,7109,5689,2511,3059,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),16624,21675,19612,20482,7773,7994,13341,14587,6279,10129,10337,9965,8914,6685,6517,10861,2073,484,1029,,
应收账款(万元),50538,40678,32541,25514,36281,30888,23490,19428,29109,25880,18364,16507,21694,16158,15172,10802,10884,6762,6192,4070,
预付款项(万元),5395,3477,984,1685,1622,1351,1593,1036,1266,1218,1364,1034,1584,1036,1215,370,300,172,1638,133,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,2850,,2962,2751,2226,2262,2696,2443,3282,1897,1710,3257,2525,1801,1442,5706,3659,1678,1147,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
存货(万元),18232,15821,15091,13134,12064,9806,10146,8755,8877,7944,8989,7137,7286,7169,6918,6303,6423,5428,3513,3339,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),143,61,396,71,84,254,391,386,414,305,186,84,3007,4401,,7,,,,100,
流动资产合计(万元),214502,208017,204084,202879,89037,85400,79012,82336,80892,78727,74437,75341,77633,74795,77227,40256,32494,22194,16562,11847,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,90,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,24986,,24296,,21640,,3813,,2618,,2437,,2181,,2079,1986,,,,
累计折旧(万元),,3331,,2705,,2249,,1846,,1660,,1503,,1361,,1204,889,,,,
固定资产净值(万元),,21656,,21591,,19390,,1967,,957,,934,,820,,874,1096,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,21656,,21591,19419,19390,16264,1967,1216,957,959,934,936,820,829,874,1096,970,811,568,
在建工程(万元),,6001,,5607,6191,5986,9047,22413,18804,14442,11708,9384,7056,6155,5875,5509,909,156,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,
无形资产(万元),6940,6924,6587,6647,6611,6676,6431,6482,6396,6423,6469,6421,6466,6490,6521,6563,6701,7496,240,16,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),468,545,558,571,498,506,544,528,509,452,438,379,303,318,333,348,408,357,231,167,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),1950,1938,1810,1444,946,684,584,546,753,609,713,667,629,608,442,362,355,260,,,
其他非流动资产(万元),2170,2170,2170,2170,3338,3292,1849,1761,1713,1678,1629,1526,1459,1424,907,871,89,45,36,,
非流动资产合计(万元),39511,39585,38446,38030,37002,36534,34719,33696,29390,24561,21916,19310,16850,15815,14906,14527,9559,9284,1318,841,
资产总计(万元),254013,247602,242530,240909,126039,121933,113731,116033,110283,103288,96353,94651,94483,90610,92133,54783,42052,31478,17880,12689,
短期借款(万元),,,,,,,,,,,,,,0,1940,3735,2500,3500,,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,
应付票据(万元),2170,1455,,1305,,427,220,556,528,240,318,444,506,447,376,462,170,,291,285,
应付账款(万元),8457,9149,,6662,,5631,5215,4833,1882,4093,2664,1572,1882,1784,2279,1009,1144,519,282,252,
预收账款(万元),847,318,111,266,80,135,257,140,60,36,153,242,140,295,309,220,243,53,25,30,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),2722,2592,814,2296,1404,1342,641,1920,1190,1168,554,1813,786,773,338,1115,913,480,372,333,
应交税费(万元),1257,1367,946,806,1022,1102,171,125,771,2266,965,1166,2760,769,1074,1257,1551,660,355,284,
应付利息(万元),,,,,,,,,,,,,,,,,,,,,
应付股利(万元),,,,,,,286,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,5284,,5349,7219,7095,6083,6022,320,237,234,169,439,118,552,488,82,90,68,64,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
流动负债合计(万元),18802,20364,16060,16884,16088,15932,13074,13796,4951,8239,5089,5606,6713,4387,7067,8485,6803,5502,1593,1447,
长期借款(万元),,,,,,,,,,,,,,0,2000,5000,3000,3000,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,1092,,,,,,,,754,,,,,,,,
专项应付款(万元),,924,,924,,1092,971,754,754,877,877,754,,754,754,754,794,40,40,262,
