报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2012-12-31,
货币资金(万元),1312954,1403117,1577529,1010067,1116830,1172198,1244497,1040135,1041552,1190304,1040135,1511974,1632940,1862543,3556520,4876231,2620195,868676,1476473,1236875,1108071,1030391,1053652,1051126,
结算备付金(万元),279471,286168,297307,236168,195935,210306,179483,238149,234304,226290,238149,226531,197449,350937,440940,579212,323464,384446,173553,183828,183672,151841,211530,185679,
拆出资金(万元),,,,,,,,,,,,,,,,,,15000,,,,,,,
交易性金融资产(万元),2092962,2280897,2174278,931681,1062396,1258119,1246127,1043297,965459,1009593,1043297,483582,493173,308210,328402,278777,278391,122847,95029,180270,84711,72741,44103,26216,
衍生金融资产(万元),804,852,3578,11814,7158,4343,418,611,1070,273,611,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收账款(万元),70596,24055,42572,80538,18260,18550,26243,19459,27531,40648,19459,36403,25797,7758,,22633,,10760,,,3614,,,,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,40356,48761,48406,48834,41788,39540,41656,41788,33368,44222,42766,44303,42475,30153,26771,12995,10777,8962,3746,2091,3248,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),14266,15075,19949,21454,18542,19484,12393,10544,11568,9127,10544,10792,19081,35729,567622,586009,650504,29416,538018,444563,323263,437841,348717,342351,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),290471,269712,417819,661831,860363,666522,474014,630341,264693,149145,630341,507849,1211042,1295289,1248149,1036865,550584,800211,310437,196882,241376,90907,28932,806,
存货(万元),,,,,,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,1571901,1672384,1303315,1132476,1277112,1126399,947285,1277112,1090991,1161368,689043,693410,285844,170470,112287,98731,84164,61044,66219,70810,35290,
持有至到期投资(万元),22442,27355,7138,,,,,,,,,,,,,,,,,,,4200,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),548892,543097,524427,505913,514774,298319,287912,282693,272767,259593,282693,199209,170623,164871,21949,24336,23784,84705,15955,13624,9627,8653,10237,8901,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),2366,2410,2453,2497,2541,2584,2628,2672,2715,2759,2672,2846,4934,4987,3234,3261,8588,8851,8766,8904,8957,6773,6773,6773,
固定资产原值(万元),,32129,,31802,,32729,,33185,,32304,,,,,,,,,,,,,,55923,
累计折旧(万元),,24080,,23442,,24838,,24790,,25273,,,,,,,,,,,,,,28517,
固定资产净值(万元),,8049,,8360,,7891,,8394,,7031,,,,,,,,,,,,,,27406,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),14179,8049,7934,8360,7528,7891,8019,8394,7869,7031,8394,6955,5177,7885,34250,19064,23511,13389,24105,23673,24364,26344,26443,27406,
在建工程(万元),13047,12619,12125,10809,9271,7677,6784,5800,5162,4468,5800,3144,2640,,,1487,1117,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),31241,31720,32664,33587,32650,33490,34302,35361,34000,33305,35361,32449,31867,32954,58819,58934,59300,33147,58908,28547,3826,2811,2872,3182,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,1000,1000,1000,,1000,1000,1000,336,336,1000,
长期待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),41007,44413,34983,52018,35386,35186,28622,29754,34025,29509,29754,12083,12083,12964,13412,15020,3569,1218,1792,1864,2510,1000,1000,808,
其他非流动资产(万元),29961,24525,33763,25777,19001,18474,17875,37049,13004,36368,37049,47946,15730,2453,278544,48930,75994,3038,35348,69830,65914,286699,234417,85969,
非流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,,,,
资产总计(万元),6151468,6153615,6287307,5869480,6338588,5962087,5794610,5770060,4966411,4783402,5770060,5039056,5843204,5957357,8099046,10124562,6237759,3434882,3320792,2797276,2424007,2190503,2041914,1778756,
短期借款(万元),64461,67064,70940,68300,62172,49195,53687,54334,43420,34369,54334,,,,13000,14970,14007,,11000,11000,9900,3000,,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),140070,5002,,80000,,90000,64000,80000,,,80000,147000,93000,66000,64200,180000,110900,159000,89800,48000,49000,49000,30000,,
交易性金融负债(万元),,,,,,,,,,,,,,,66,147,10,,120,,,,,,
衍生金融负债(万元),660,654,2486,892,2451,1464,3596,2849,2271,6,2849,0,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付账款(万元),504,12250,5539,,110225,77987,1529,45528,30606,,45528,19,12372,14823,75528,5835,,13451,,,8069,,,,
预收账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
卖出回购金融资产款(万元),438243,482288,380680,437714,465809,381582,400960,365201,445836,403146,365201,662840,1195767,1285689,1352618,1532319,1007311,588896,138059,280930,198046,78106,19600,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),172650,165525,163663,138169,147134,139296,133561,135088,127308,114060,135088,80783,67080,79865,93772,62060,25374,24017,33842,29089,27583,21985,15838,14014,
应交税费(万元),8889,6870,3681,8298,5694,11532,20261,20214,23469,28994,20214,16350,12846,41578,26052,47029,17496,15386,12610,3332,11080,9405,3970,7565,
应付利息(万元),,,,57339,53559,30645,31350,34764,30663,18194,34764,41482,34783,35020,38083,25909,10571,6583,2315,2764,2443,,,,
应付股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
