报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),42820,59201,87007,48934,76366,68236,41109,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),2,,,,,,200,
应收账款(万元),172114,170395,140001,138390,130685,112983,103296,
预付款项(万元),967,707,535,1229,432,190,2676,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,15055,14230,16539,17553,11920,94708,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),78157,82487,79235,73850,77318,70555,36804,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),4274,3573,13785,14415,11508,12064,4457,
其他流动资产(万元),10664,5630,904,2077,132,434,,
流动资产合计(万元),324410,337048,335698,295434,313994,276381,283250,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,239,239,239,239,10,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),88899,89000,56007,35059,23507,48463,47105,
长期股权投资(万元),,,,,,,399,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),10212,10302,10481,10661,10840,11198,360,
固定资产原值(万元),,5849,7300,,,,,
累计折旧(万元),,2301,3315,,,,,
固定资产净值(万元),,3548,3985,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,3548,3985,2435,2236,3006,3246,
在建工程(万元),,,,,,,,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),169,182,214,165,182,187,130,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),80,74,99,233,280,419,530,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),3363,3323,2939,2643,2015,1453,1557,
其他非流动资产(万元),,,,,,,11440,
非流动资产合计(万元),107029,106667,73964,51435,39299,64965,64777,
资产总计(万元),431439,443715,409662,346870,353293,341346,348027,
短期借款(万元),18049,17798,19798,15850,10179,11500,37793,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),16422,11331,18320,16791,13074,10987,24506,
应付账款(万元),216109,233799,238555,196641,214436,216143,176288,
预收账款(万元),10157,16206,13320,10180,7321,8359,4451,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),1631,1557,2067,1413,1421,975,615,
应交税费(万元),1496,696,3275,907,5540,4460,8266,
应付利息(万元),,71,,,,,,
应付股利(万元),,,,44,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,13987,17016,22189,20226,17619,23462,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,,,731,6993,
其他流动负债(万元),11855,11860,11607,10126,10110,8843,,
流动负债合计(万元),289212,307304,323958,274141,282308,279618,282374,
长期借款(万元),54000,49000,4000,,,,14840,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,259,1725,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),,,,,,,,
递延所得税负债(万元),68,70,74,,,,26,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),54068,49070,4074,0,0,259,16591,
负债合计(万元),343280,356374,328032,274141,282308,279877,298965,
实收资本(或股本)(万元),44910,44910,44910,44910,44910,44910,44910,
资本公积(万元),5756,5756,5756,5756,5881,5881,539,
减:库存股(万元),,,,,,,,
专项储备(万元),1908,1957,1908,1983,2074,2170,1676,
盈余公积(万元),2529,2529,2529,1503,1505,278,30,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),27748,26816,22697,16630,14748,6438,309,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),82852,81968,77800,70782,69118,59677,47464,
少数股东权益(万元),5307,5373,3830,1946,1867,1793,1598,
所有者权益(或股东权益)合计(万元),88159,87341,81630,72728,70985,61469,49062,
负债和所有者权益(或股东权益)总计(万元),431439,443715,409662,346870,353293,341346,348027,		
