报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
货币资金(万元),14754,15420,9149,17300,9943,8600,10257,16498,4275,3635,1457,841,2817,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,135,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),15484,20221,17009,11061,,,10285,7790,12743,8383,6354,1771,8305,
应收账款(万元),33739,35382,50979,51470,,,41213,38487,24348,21848,17203,18219,12857,
预付款项(万元),310,145,169,169,248,54,634,351,390,131,1340,373,372,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,
其他应收款(万元),,285,,,281,306,539,258,451,478,474,494,55,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),10983,9089,9670,15315,16368,11514,12518,15425,5211,12149,6944,6146,2975,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),1236,1157,1218,990,798,546,2000,2198,86,,,,,
流动资产合计(万元),77019,81699,88575,96545,81204,74429,77447,81006,47504,46624,33772,27844,27515,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,1720,1720,3420,3420,2120,2120,2120,2120,2120,2120,210,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),5969,5399,5550,4196,2877,2215,1838,1705,1342,1471,324,421,464,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,
固定资产原值(万元),17300,,,,,,,,,,2571,,,
累计折旧(万元),2998,,,,,,,,,,974,,,
固定资产净值(万元),14302,,,,,,,,,,1597,,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),14302,,,,3361,3087,2864,2920,2884,2181,1597,1594,947,
在建工程(万元),,,,,9727,5247,2497,1119,157,57,27,23,,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),8230,8252,8255,8194,8229,8272,8337,1955,1951,1933,,,,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,
长期待摊费用(万元),30,73,122,177,267,312,319,466,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,
递延所得税资产(万元),1478,1496,1559,1485,1063,969,547,547,301,263,196,190,116,
其他非流动资产(万元),189,93,135,58,51,306,141,6549,53,,,,,
非流动资产合计(万元),36664,36743,33288,29716,28994,23828,18663,17382,8808,8025,4264,4348,1737,
资产总计(万元),113683,118443,121862,126260,110197,98257,96109,98388,56312,54648,38035,32192,29252,
短期借款(万元),2858,4425,8525,10216,5800,4350,3580,4230,9640,7990,8500,5300,6000,
向中央银行借款(万元),,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,
应付票据(万元),8291,10264,5374,7923,,,3371,2426,200,1667,732,702,186,
应付账款(万元),12376,16529,23168,26463,,,21845,23850,9113,13142,6647,6410,3546,
预收账款(万元),92,68,47,491,213,246,87,194,134,436,51,212,102,
卖出回购金融资产款(万元),,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,
应付职工薪酬(万元),1308,1223,795,2019,632,943,403,1394,112,258,164,182,54,
应交税费(万元),1185,735,1059,2048,1687,1427,265,2035,748,1254,755,1967,404,
应付利息(万元),,,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,
其他应付款(万元),,,,,82,59,42,463,40,34,32,50,7119,
预提费用(万元),,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,
一年内到期的非流动负债(万元),200,200,650,700,1014,1323,979,1231,1200,,,,,
其他流动负债(万元),,,,,,,,,,,,,,
流动负债合计(万元),26347,33478,39658,49895,40613,33593,30572,35823,21186,24781,16880,14821,17411,
长期借款(万元),750,800,500,,,,650,700,1323,2000,,,,
应付债券(万元),,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,
长期递延收益(万元),,,,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,
非流动负债合计(万元),750,800,500,0,0,0,650,700,1323,2000,0,,,
负债合计(万元),27097,34278,40158,49895,40613,33593,31222,36523,22509,26781,16880,14821,17411,
实收资本(或股本)(万元),26377,26377,26377,26377,26377,26377,26377,26377,24377,15146,15146,15146,7196,
资本公积(万元),18190,18260,18349,18349,18346,18346,18346,18346,529,193,193,193,138,
减:库存股(万元),,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,
