报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),31070,26567,28928,93745,3196,5075,8306,2589,1165,952,5873,12308,2025,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),1275,9995,6687,3638,,,,,,1651,2816,1907,736,
应收账款(万元),42207,44782,38370,30101,,,,,,4148,7959,3895,4359,
预付款项(万元),7179,4059,3464,3287,4197,6236,4477,4714,822,1224,1366,1297,357,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,1089,,,,,,,,38,,,,
应收股利(万元),,,,,,,,,,,,,,
其他应收款(万元),,107,,77,,,,,,159,18,23,38,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),31594,21861,22388,23439,25629,29391,24080,15606,17471,15210,16196,12395,4106,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),58215,60500,60000,594,,,,850,2940,3360,,,,
流动资产合计(万元),176065,168961,160017,154882,68176,69466,67837,29476,26907,26742,34228,31826,11621,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,
固定资产原值(万元),,23083,,22829,,21959,20009,18909,16238,,8684,,,
累计折旧(万元),,10083,,9422,,8664,7938,6736,5634,,2399,,,
固定资产净值(万元),,13001,,13407,,13295,12071,12173,10604,,6285,,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),,13001,,13407,13820,13295,12071,12173,10604,11290,6285,5889,6532,
在建工程(万元),,251,,,,784,781,,2111,2041,,,,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),5074,5118,5140,5173,5207,5240,5306,5439,5572,5704,4042,2580,2641,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,
长期待摊费用(万元),91,68,,,,,,3,11,19,61,85,108,
股权分置流通权(万元),,,,,,,,,,,,,,
递延所得税资产(万元),1235,1299,900,854,692,628,530,338,412,394,136,71,64,
其他非流动资产(万元),24697,8889,205,284,284,314,536,145,38,36,,,,
非流动资产合计(万元),77884,28626,19614,19718,20003,20262,19224,18098,18747,19484,10523,8624,9345,
资产总计(万元),253949,197587,179631,174600,88179,89728,87061,47574,45655,46226,44751,40450,20966,
短期借款(万元),15669,4300,,,,,,,,,,,1330,
向中央银行借款(万元),,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,
应付票据(万元),41907,13541,,3636,,,,,,2290,713,1450,570,
应付账款(万元),17248,7297,,8243,,,,,,6562,3330,5184,3479,
预收账款(万元),6586,4896,6794,6156,13633,20900,24374,5497,9448,8973,16548,15246,3559,
卖出回购金融资产款(万元),,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,
应付职工薪酬(万元),1114,663,447,814,850,794,870,544,526,444,360,374,841,
应交税费(万元),1951,2229,1250,1174,1754,2163,3527,1410,741,278,1257,1698,798,
应付利息(万元),,,,,,,,,,,,,,
应付股利(万元),,2016,,,,,,,,,,2000,55,
其他应交款(万元),,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,
其他应付款(万元),,,,16,,,,,,,,,268,
预提费用(万元),,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,
流动负债合计(万元),84476,34941,20848,20038,26551,33390,38803,13547,16842,18547,22207,25953,10900,
长期借款(万元),,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,
专项应付款(万元),,600,,,,,,,,,,,,
预计非流动负债(万元),257,267,324,324,416,391,295,,,,,,,
长期递延收益(万元),1808,,,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,
非流动负债合计(万元),2065,867,324,324,416,391,295,0,0,0,0,0,0,
负债合计(万元),86541,35809,21172,20363,26967,33781,39098,13547,16842,18547,22207,25953,10900,
实收资本(或股本)(万元),17640,12600,12600,12600,9450,9450,9450,9450,9450,9450,9450,3150,3000,
资本公积(万元),87211,92251,92251,92251,5145,5145,5145,5145,5047,5047,5047,2220,,
减:库存股(万元),,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,
盈余公积(万元),6147,6147,6147,6147,4139,4139,4139,2246,1734,1621,1105,1524,718,
一般风险准备(万元),,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,
未分配利润(万元),56409,50780,47460,43239,42478,37213,29230,17186,12581,11561,6942,7603,6348,
拟分配现金股利(万元),,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),167407,161778,158458,154238,61212,55947,47964,34026,28812,27679,22544,14497,10066,
少数股东权益(万元),,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),167407,161778,158458,154238,61212,55947,47964,34026,28812,27679,22544,14497,10066,
负债和所有者权益(或股东权益)总计(万元),253949,197587,179631,174600,88179,89728,87061,47574,45655,46226,44751,40450,20966,		
