报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),15514,10726,12120,11567,15508,12728,6355,10987,4879,5119,5086,4517,4948,8629,14397,13875,19005,18574,8540,7913,5089,5930,6707,
结算备付金(万元),,,,,,,,,,,,,,,,,,0,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,0,,,,,,
交易性金融资产(万元),6669,7272,11235,11235,,,,,,,,,,,,,,0,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,0,,,,,,
应收票据(万元),1434,1372,196,1007,595,1835,1460,1317,1065,125,1845,1522,236,236,197,210,17,62,201,218,332,36,58,
应收账款(万元),35033,36232,47052,38787,72055,41468,34463,33072,30727,25705,27945,25538,2751,3250,3269,3067,3803,4358,2578,2713,4649,3832,2671,
预付款项(万元),147,156,756,139,1436,248,1634,295,613,1530,1107,324,332,76,278,25,145,53,33,19,44,37,70,
应收保费(万元),,,,,,,,,,,,,,,,,,0,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,0,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,0,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,0,,,,,,
应收股利(万元),,,,,,,,,,,,,0,,,,,0,,,,,,
其他应收款(万元),,849,,921,1206,992,1644,1189,1645,1323,804,545,57,141,127,48,298,235,529,450,575,463,90,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,0,,,,,,
存货(万元),28033,28389,35449,38776,24049,39000,25179,21721,16326,17239,15086,11867,7831,6449,6061,6659,6460,6194,6779,6519,6466,7961,6269,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,4769,3997,,,,,,,,0,,,,,,
其他流动资产(万元),293,287,13,50,17,148,119,281,50,58,140,3134,10036,8035,3535,3648,,0,,,,,,
流动资产合计(万元),88042,85284,107175,102483,114865,96419,70854,68862,60073,55097,52012,47448,26192,26817,27864,27533,29728,29475,18660,17832,17155,18258,15865,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,0,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,0,,,,,,
持有至到期投资(万元),,0,,,,,,,,,,,,,,,,0,,,,,,
长期应收款(万元),12203,13294,5468,9896,6218,7074,4341,4599,2249,3042,,,,,,,,0,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,0,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,0,,,,,,
固定资产原值(万元),,15535,,15388,,13410,,9116,,8045,,7919,,3791,,2331,,2133,2128,2127,1999,2045,1908,
累计折旧(万元),,3513,,3050,,2499,,2079,,1818,,1578,,1231,,,,1100,1057,1009,837,729,541,
固定资产净值(万元),,12022,,12338,,10911,,7037,,6227,,6341,,2560,,2331,,1033,1071,1118,1162,1315,1368,
固定资产减值准备(万元),,,,,,,,,,,,,,,,1182,,,,,,,,
固定资产(万元),,12022,,12338,11045,10911,7290,7037,6194,6227,6370,6341,2578,2560,1203,1149,986,1033,1071,1118,1162,1315,1368,
在建工程(万元),,3948,,3897,3954,4562,8724,7077,5702,3839,1008,910,2487,2242,3462,3412,3208,3134,3069,3005,1910,43,78,
工程物资(万元),,,,,,,,,,,,,,,,,,0,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,0,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,0,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,0,,,,,,
无形资产(万元),1814,1857,4220,4351,4123,4142,4212,4317,4412,4571,4709,4681,707,718,728,739,749,759,753,763,802,819,136,
开发支出(万元),,,,,,,,,,,,,,,,,,0,,,,,,
商誉(万元),,,4693,4693,32994,32994,32994,32994,32994,32994,32994,32994,,,,,,0,,,,,,
长期待摊费用(万元),,,,,2,,5,,2,,,,,,,,,0,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,
