报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),20720,18990,28057,45850,28319,23524,17817,36923,17727,17059,21586,32906,21408,9038,7474,13685,6120,12243,1797,7340,8320,6458,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),1050,1050,1050,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),390,392,558,255,607,692,,,,,,,,,,,,,,,,,
应收账款(万元),143717,135544,128549,125188,118634,114925,106163,80921,87387,76986,65960,62401,61029,54535,48842,45455,41000,30416,29200,24726,15024,8935,
预付款项(万元),2056,2872,2247,850,2743,3169,3353,523,1366,780,1131,660,870,717,550,312,257,287,329,296,175,193,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),6,0,,25,34,19,5,,64,,2,,,,,,,,,,,,
应收股利(万元),,0,,0,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,6695,,5897,,7659,7885,3176,3238,2982,3269,2848,2828,2589,3214,1313,1820,1601,2219,1720,709,1448,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,
存货(万元),11293,12512,13792,11542,11659,10049,8036,1385,1905,1816,3237,2616,4053,984,672,766,897,3664,2299,2387,1477,1173,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),330,330,330,460,460,850,1000,1290,1290,900,750,,,,,,,,,1,,,
流动资产合计(万元),186119,178385,180559,190066,169124,160888,144259,124219,112977,100522,95935,101432,90189,67862,60752,61531,50093,48212,35844,36469,25705,18206,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),0,0,,600,2600,100,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),40,42,44,46,49,51,53,56,58,60,62,65,67,69,72,74,79,83,90,92,,,
固定资产原值(万元),,14521,,13714,,14068,,7562,,7231,,6435,,5899,5256,5143,,5040,4735,,,,
累计折旧(万元),,8162,,7694,,7558,,4561,,4215,,3727,,3376,3208,3005,,2312,1510,,,,
固定资产净值(万元),,6359,,6020,,6510,,3001,,3016,,2709,,2523,2048,2137,,2728,3225,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,6359,,6020,6232,6510,6322,3001,2858,3016,2767,2709,2623,2523,2048,2137,2412,2728,3225,2872,2271,1256,
在建工程(万元),,23,,52,52,7,192,26,79,,,,,,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),8373,7691,7915,5099,5267,5344,4188,364,107,117,127,137,142,152,151,160,179,198,162,170,202,227,
开发支出(万元),,,,0,,,,,,,,,,,,,,,,,,,
商誉(万元),18605,18605,18605,16911,16911,16911,11138,,,,,,,,,,,,,,,,
长期待摊费用(万元),62,68,77,86,89,99,10,5,6,7,8,9,10,1,1,2,3,5,37,27,62,79,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),2906,2621,2411,2292,1740,1645,1523,1137,1138,1044,927,889,814,742,663,595,487,507,368,426,158,154,
其他非流动资产(万元),,,,,,,,,,,,,,647,611,611,498,497,367,367,,,
非流动资产合计(万元),36148,35410,35458,31106,32939,30667,23427,4588,4246,4244,3891,3808,3657,4133,3545,3578,3656,4018,4248,3955,2693,1716,
资产总计(万元),222267,213795,216017,221173,202063,191555,167685,128807,117224,104766,99826,105240,93845,71995,64296,65109,53749,52229,40093,40424,28397,19922,
