报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),9420,13103,15716,11888,4424,6052,7037,7352,5848,18002,2030,5140,2302,1147,2233,382,1060,
结算备付金(万元),,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,1952,1157,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,
应收票据(万元),1221,1472,1124,1137,601,543,490,901,262,28,91,181,770,266,124,85,64,
应收账款(万元),13312,12293,13233,14902,10468,11096,10520,10609,7252,7639,7262,7415,7097,6827,5981,3694,1900,
预付款项(万元),1770,2995,2924,3052,4142,2706,3384,2355,2973,2410,2717,2080,1531,794,665,686,730,
应收保费(万元),,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,182,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,
其他应收款(万元),,567,,551,413,259,487,407,291,265,510,488,139,137,119,225,123,
应收出口退税(万元),,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,
存货(万元),9954,8564,4896,3610,6118,5824,4937,3277,5693,4855,4356,3614,1885,2015,1852,1589,1243,
待摊费用(万元),,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,
其他流动资产(万元),6664,2878,417,5439,10787,11173,12077,15025,10334,381,100,,,141,28,193,1081,
流动资产合计(万元),42862,41873,38977,40579,36953,37835,38932,39926,32653,33580,17065,18919,13725,11328,11002,8806,7358,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,12,
其他长期投资(万元),,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,
固定资产原值(万元),,6645,,6348,,5938,,5721,,5113,4236,4199,3588,,2536,,,
累计折旧(万元),,2471,,2165,,1890,,1608,,1385,1267,1161,786,,504,,,
固定资产净值(万元),,4174,,4183,,4048,,4113,,3728,2969,3038,2803,,2032,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,
固定资产(万元),,4174,,4183,3925,4048,4096,4113,3711,3728,2969,3038,2803,2388,2032,1424,825,
在建工程(万元),,3180,,2555,1530,369,0,3,173,171,638,566,249,269,262,,,
工程物资(万元),,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,
无形资产(万元),646,677,660,688,719,723,747,762,542,558,318,328,259,271,55,43,33,
开发支出(万元),,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,
长期待摊费用(万元),4,5,,,167,125,81,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,
递延所得税资产(万元),180,172,249,204,155,151,142,140,68,78,75,77,85,89,79,48,21,
其他非流动资产(万元),4120,4784,2757,2466,2751,1552,910,979,567,612,574,37,274,10,290,208,42,
非流动资产合计(万元),13937,12990,10843,10097,9248,6969,5977,5996,5062,5146,4573,4045,3670,3026,2719,1723,932,
资产总计(万元),56799,54863,49820,50675,46201,44803,44909,45922,37714,38726,21638,22964,17394,14354,13721,10529,8290,
短期借款(万元),6420,6456,5810,5973,6066,5861,5597,5597,2013,3482,2822,2882,1440,555,500,200,10,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,,
应付账款(万元),2406,2232,,1779,,738,829,1149,1142,1036,1083,1685,1140,989,1370,956,533,
预收账款(万元),3542,2691,1214,680,1511,1633,1733,1518,1638,931,961,979,837,1441,568,176,549,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),57,226,227,542,193,187,178,416,166,135,161,276,200,94,194,167,138,
应交税费(万元),50,33,34,1338,65,116,151,1133,17,36,13,810,676,92,570,428,413,
应付利息(万元),4,4,4,4,,4,3,3,3,,,3,2,1,,,,
应付股利(万元),,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,
其他应付款(万元),,2673,,313,159,157,151,178,171,877,156,167,163,152,8,7,12,
预提费用(万元),,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,53,
流动负债合计(万元),15502,14316,9226,10628,9765,8695,8642,9995,5150,6497,5195,6802,4458,3325,3210,1934,1708,
长期借款(万元),,,,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,
长期递延收益(万元),,,,,,,,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,
非流动负债合计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
负债合计(万元),15502,14316,9226,10628,9765,8695,8642,9995,5150,6497,5195,6802,4458,3325,3210,1934,1708,
实收资本(或股本)(万元),10400,10385,10200,10200,10200,10200,6800,6800,6800,6800,5100,5100,5100,5100,5100,3505,3505,
资本公积(万元),15676,15004,12552,12552,12552,12552,15952,15952,15952,15952,2228,2228,2228,2228,2228,31,31,
减:库存股(万元),2682,2480,,,,,,,,,,,,,,,,
专项储备(万元),174,157,139,122,105,88,71,54,42,,,,,,,,,
盈余公积(万元),721,705,706,684,582,554,531,526,383,369,331,331,190,65,65,372,277,
一般风险准备(万元),,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,
未分配利润(万元),17008,16777,16998,16490,12997,12715,12913,12595,9387,9108,8784,8503,5418,3636,3117,4688,2769,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),41298,40548,40595,40047,36436,36109,36267,35927,32564,32229,16443,16162,12936,11029,10511,8595,6582,
少数股东权益(万元),-1,-1,-0,-0,0,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),41297,40548,40595,40047,36436,36109,36267,35927,32564,32229,16443,16162,12936,11029,10511,8595,6582,
负债和所有者权益(或股东权益)总计(万元),56799,54863,49820,50675,46201,44803,44909,45922,37714,38726,21638,22964,17394,14354,13721,10529,8290,		
